neale_trait	Phenotype.Description	rat_trait	z_size_d1d2	mean_high_z_rand	stdev_highz	obs_exp_temp	ptemp	nhgenes	nrgenes	yerr_lower	yerr_upper	rg	rg.SE	h2_observed	h2_observed_se	h2_liability	h2_liability_se	n	variable_type	NHumanGenes
49_irnt	Hip circumference	rat_BMI	338	341.071	15.95067268	0.99099601	0.576336882	21909	295	0.0832096920357388	0.100003407161013	0.8454	0.008173	0.223217353943126	0.00779968051894021	0.223217353943126	0.00779968051894021	360521	continuous_irnt	1567
4957	FI3 : word interpolation	rat_BMI	210	166.046	11.86034924	1.264709779	0.000105295	21909	295	0.155314324540987	0.205881386255467	-0.2729	0.02631	0.0825234510991744	0.00876214724847376	0.190589681754698	0.0202363671578336	116815	binary	3
4968	FI4 : positional arithmetic	rat_BMI	186	221.454	12.52572888	0.839903547	0.997676191	21909	295	0.0838195973943433	0.104721269513278	-0.2834	0.02668	0.069540782505306	0.00722038903821515	0.16313306112091	0.0169380344001453	115690	binary	5
4990	FI6 : conditional arithmetic	rat_BMI	248	235.025	13.51970321	1.055206893	0.16860049	21909	295	0.106917780069944	0.134091065216142	-0.2661	0.02586	0.0977189648923293	0.0087710523551361	0.167005603698704	0.0149900778754302	102181	binary	23
50_irnt	Standing height	rat_BMI	177	190.347	12.50522255	0.929880692	0.857084982	21909	295	0.1060778583971	0.137433912687585	-0.1662	0.0167	NA	NA	NA	NA	NA	NA	4679
5012	FI8 : chained arithmetic	rat_BMI	217	204.454	12.5840329	1.061363436	0.159387671	21909	295	0.114256125452363	0.145604973199248	-0.1969	0.02812	0.116646957825254	0.0120601085664863	0.193206070635243	0.0199755418487286	75692	binary	22
5084_irnt	Spherical power (right)	rat_BMI	228	234.091	13.24744198	0.973980204	0.677165399	21909	295	0.0972459158924653	0.121509955666507	0.1273	0.01941	0.326352141042297	0.0200949410580743	0.326352141042297	0.0200949410580743	77983	continuous_irnt	222
5085_irnt	Spherical power (left)	rat_BMI	248	249.313	14.47200853	0.994733528	0.536145189	21909	295	0.101613158746206	0.127703214845396	0.1337	0.01951	0.328174735001695	0.0204857206011673	0.328174735001695	0.0204857206011673	77739	continuous_irnt	244
5096_irnt	3mm weak meridian (left)	rat_BMI	272	254.061	13.68587882	1.070609027	0.094968227	21909	295	0.102242301421468	0.126380838268024	0.02522	0.02437	0.393818078965109	0.0387616198035998	0.393818078965109	0.0387616198035998	75398	continuous_irnt	416
5097_irnt	6mm weak meridian (left)	rat_BMI	306	250.015	14.05890376	1.223926564	3.41e-05	21909	295	0.121503743090492	0.15160441178381	0.02527	0.02504	0.43390777562822	0.0383355016959249	0.43390777562822	0.0383355016959249	65551	continuous_irnt	367
5098_irnt	6mm weak meridian (right)	rat_BMI	268	249.956	13.58131304	1.072188705	0.091991596	21909	295	0.103194262176222	0.127793600947829	0.0209	0.02334	0.418781392296346	0.0370188527778924	0.418781392296346	0.0370188527778924	66256	continuous_irnt	327
5099_irnt	3mm weak meridian (right)	rat_BMI	298	254.774	13.80409084	1.169664094	0.000869903	21909	295	0.11228914840092	0.138972129821449	0.0168	0.0236	0.387322138036001	0.0403525399682582	0.387322138036001	0.0403525399682582	75410	continuous_irnt	430
5132_irnt	3mm strong meridian (right)	rat_BMI	265	264.041	14.44005952	1.003632012	0.473524722	21909	295	0.0971641586050358	0.120495013187048	0.01002	0.02291	0.383519311373518	0.0390183796881325	0.383519311373518	0.0390183796881325	75410	continuous_irnt	403
5133_irnt	6mm strong meridian (right)	rat_BMI	272	256.021	13.92998776	1.062412849	0.125671466	21909	295	0.102380465446056	0.126823387861548	0.02295	0.0223	0.423025223823179	0.0369945016634823	0.423025223823179	0.0369945016634823	66256	continuous_irnt	355
5134_irnt	6mm strong meridian (left)	rat_BMI	287	248.815	13.8394644	1.153467436	0.002897698	21909	295	0.113387579005464	0.141135177563561	0.02707	0.02485	0.427684834850648	0.0380381329773912	0.427684834850648	0.0380381329773912	65551	continuous_irnt	392
5135_irnt	3mm strong meridian (left)	rat_BMI	258	248.481	13.79491352	1.038308764	0.245085477	21909	295	0.101894319115587	0.126776768322885	0.01928	0.02361	0.385232284917638	0.0374008769364583	0.385232284917638	0.0374008769364583	75398	continuous_irnt	409
5254_irnt	Intra-ocular pressure, corneal-compensated (right)	rat_BMI	250	217.165	13.60080053	1.151198398	0.007884985	21909	295	0.125862634434089	0.161086370833593	-0.04649	0.02602	0.165972949971876	0.0156759034371313	0.165972949971876	0.0156759034371313	76630	continuous_irnt	56
5255_irnt	Intra-ocular pressure, Goldmann-correlated (right)	rat_BMI	251	234.673	13.26966733	1.069573406	0.109273658	21909	295	0.106712774099936	0.133314759925186	0.003821	0.023	0.235853791499054	0.0184405084213388	0.235853791499054	0.0184405084213388	76630	continuous_irnt	166
5256_irnt	Corneal hysteresis (right)	rat_BMI	253	226.963	13.7435669	1.114719139	0.029080242	21909	295	0.11826537664073	0.150118905596779	0.07457	0.02206	0.275427529017047	0.0250165653015988	0.275427529017047	0.0250165653015988	76630	continuous_irnt	163
5257_irnt	Corneal resistance factor (right)	rat_BMI	267	233.597	13.25106	1.142994131	0.005854761	21909	295	0.114366212494811	0.142978655473152	0.05648	0.02079	0.335974676354742	0.0288421888722584	0.335974676354742	0.0288421888722584	76630	continuous_irnt	245
5262_irnt	Intra-ocular pressure, corneal-compensated (left)	rat_BMI	217	207.787	13.014593	1.044338674	0.239504405	21909	295	0.114188264479816	0.146147981107295	-0.05785	0.02527	0.169220630000128	0.0146841375785092	0.169220630000128	0.0146841375785092	76510	continuous_irnt	76
5263_irnt	Intra-ocular pressure, Goldmann-correlated (left)	rat_BMI	254	214.4	12.7251719	1.184701493	0.000929304	21909	295	0.1234556452731	0.155960347826512	-0.005136	0.02228	0.245903415623683	0.0175836672888166	0.245903415623683	0.0175836672888166	76510	continuous_irnt	131
5264_irnt	Corneal hysteresis (left)	rat_BMI	252	226.129	13.74635803	1.114408148	0.029916259	21909	295	0.118643552645287	0.150740130890488	0.05961	0.02449	0.246553358286917	0.0223685771979222	0.246553358286917	0.0223685771979222	76510	continuous_irnt	138
5265_irnt	Corneal resistance factor (left)	rat_BMI	268	240.795	13.95324245	1.112979921	0.025604391	21909	295	0.113514542497117	0.142603179187065	0.03702	0.02218	0.311305310250738	0.026666753131241	0.311305310250738	0.026666753131241	76510	continuous_irnt	228
5556	FI9 : concept interpolation	rat_BMI	238	170.637	11.84884935	1.394773701	6.53e-09	21909	295	0.167088331605666	0.21973511340495	-0.3078	0.03426	0.146142450380174	0.0224207406986844	0.231504718700951	0.035516766381112	35147	binary	2
6138_1	Qualifications: College or University degree	rat_BMI	314	296.795	14.67327417	1.057969305	0.120490174	21909	295	0.0934614060380092	0.113517820776969	-0.3714	0.01591	0.168547551777284	0.00548658413326573	0.285602177588071	0.00929696313863658	357549	binary	709
6138_100	Qualifications: None of the above	rat_BMI	256	231.602	13.76072658	1.105344513	0.038112958	21909	295	0.115295373519142	0.145687980345973	0.3634	0.01649	0.104325455446288	0.00388042218121526	0.229307979369983	0.00852919132411606	357549	binary	259
6138_2	Qualifications: A levels/AS levels or equivalent	rat_BMI	227	227.129	13.17536941	0.999432041	0.50390598	21909	295	0.102031149753328	0.128208548256911	-0.3579	0.0184	0.0924338237418752	0.00364720856988188	0.165538021273851	0.00653171821082806	357549	binary	190
6150_100	Vascular/heart problems diagnosed by doctor: None of the above	rat_BMI	305	296.684	15.29405584	1.028029823	0.293309975	21909	295	0.0943382974846088	0.115544421559229	-0.4049	0.01941	0.128143283668233	0.00555953071614842	0.223485003018711	0.0096959567705308	360420	binary	794
6150_2	Vascular/heart problems diagnosed by doctor: Angina	rat_BMI	238	212.899	12.73007459	1.117900977	0.024316944	21909	295	0.11727010108012	0.14840636262642	0.4125	0.03393	0.0266322554259705	0.00300898326868665	0.161690800258795	0.0182682579788128	360420	binary	35
6150_4	Vascular/heart problems diagnosed by doctor: High blood pressure	rat_BMI	288	295.86	15.14293234	0.973433381	0.698138467	21909	295	0.0887498717240818	0.108541821751634	0.3793	0.01965	0.131983210877389	0.00586459180134535	0.238105282875691	0.0105800599979873	360420	binary	810
6152_8	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Asthma	rat_BMI	237	291.802	14.56958462	0.81219457	0.999915517	21909	295	0.0723981093350916	0.0881053296581062	0.1697	0.02208	0.0623098686910604	0.00510112220909601	0.167935002424098	0.0137483353527443	360527	binary	393
6152_9	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema	rat_BMI	214	296.635	15.11951636	0.721425321	0.999999977	21909	295	0.0655253284473062	0.0800705611485328	-0.08619	0.01895	0.0802948946108572	0.00682871012575153	0.153853365280798	0.0130845184923111	360527	binary	535
680_3	Own or rent accommodation lived in: Rent - from local authority, local council, housing association	rat_BMI	222	208.325	13.05263862	1.065642626	0.147392828	21909	295	0.116552227015211	0.149185977059176	0.4481	0.02289	0.035776140527553	0.0025559454783137	0.153442376830902	0.010962343714538	356340	binary	10
78_irnt	Heel bone mineral density (BMD) T-score, automated	rat_BMI	353	323.396	15.57585259	1.091541021	0.028674963	21909	295	0.094153642136548	0.113782909454826	0.1102	0.01926	0.315206775051593	0.0310783862656112	0.315206775051593	0.0310783862656112	206589	continuous_irnt	992
C3_OTHER_SKIN	Other malignant neoplasms of skin	rat_BMI	202	234.618	14.08403621	0.860974009	0.989719649	21909	295	0.0906364617618526	0.114808758126065	-0.1045	0.02842	0.0331735691114914	0.00574973684260899	0.171906466065225	0.029795315002013	361194	binary	166
C3_SKIN	Malignant neoplasm of skin	rat_BMI	194	222.022	13.56095557	0.873787282	0.98060339	21909	295	0.0934218331411582	0.118831893036614	-0.1006	0.02782	0.0336995221051129	0.00613826147124741	0.15941302448441	0.0290365787133584	361194	binary	149
G56	Diagnoses - main ICD10: G56 Mononeuropathies of upper limb	rat_BMI	190	195.235	12.42971339	0.97318616	0.663183868	21909	295	0.107965806961953	0.138752325969799	0.4181	0.03124	0.0204974810410567	0.00245090956020974	0.157519300042347	0.0188347806063604	361194	binary	19
G6_CARPTU	Carpal tunnel syndrome	rat_BMI	193	200.331	12.32645281	0.963405564	0.723990423	21909	295	0.103682318519063	0.132119993218149	0.4055	0.03277	0.0194744165722349	0.00243813028174356	0.151743971157944	0.018997825674515	361194	binary	16
I25	Diagnoses - main ICD10: I25 Chronic ischaemic heart disease	rat_BMI	251	194.256	11.9698147	1.292109381	1.07e-06	21909	295	0.139235750851036	0.177487271006567	0.3108	0.03074	0.0291573481562798	0.00393797932886878	0.163823305113139	0.0221259075298848	361194	binary	69
I83	Diagnoses - main ICD10: I83 Varicose veins of lower extremities	rat_BMI	203	218.133	12.8652754	0.930624894	0.880255918	21909	295	0.0964318205467699	0.12164077795618	0.09152	0.03331	0.0259738081421157	0.00338795015630673	0.189299080039041	0.0246916372176895	361194	binary	83
I9_CORATHER	Coronary atherosclerosis	rat_BMI	258	202.41	12.25160806	1.274640581	2.85e-06	21909	295	0.135181131064304	0.171573310106901	0.3154	0.03017	0.0310504148659587	0.00395245664452895	0.161413246176679	0.0205465485765678	361194	binary	71
I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	rat_BMI	213	229.187	13.42311555	0.929372085	0.886072908	21909	295	0.095700542204759	0.120521554375895	0.1622	0.03239	0.0260147779522007	0.00327594954377298	0.153629791401905	0.0193460596118767	361194	binary	49
I9_IHD	Ischaemic heart disease, wide definition	rat_BMI	242	206.142	12.68794057	1.173948055	0.002355573	21909	295	0.126376005350454	0.161050264090719	0.3365	0.02746	0.0383814198231919	0.00414337620442105	0.156287685994387	0.0168716707765429	361194	binary	80
M16	Diagnoses - main ICD10: M16 Coxarthrosis [arthrosis of hip]	rat_BMI	223	213.298	12.80278079	1.045485659	0.224284129	21909	295	0.110049427230387	0.139395367589488	0.2167	0.03263	0.0213769187132604	0.00305588427421047	0.151297218698087	0.021628317792333	361194	binary	41
