	Gene	Chrom	Start-End	nSNPS	TopSNP P-Value	TopSNP Position	Negative Log	HumanGene
4304	Fbxw8	chr12	"44046203-44137427,44046216-44138138"	5	0.096078	44073084	1.017376046	FBXW8
4305	Fcamr	chr13	47538051-47552370	22	0.760731	47561372	0.118768886	FCAMR
4306	Fcar	chr1	73230391-73263462	11	0.196056	73234039	0.707619862	FCAR
4307	Fcer1a	chr13	"91727252-91736188,91730841-91736188,91730842-91737106"	72	0.353677	91733601	0.451393182	FCER1A
4308	Fcer1g	chr13	89601893-89606326	28	0.335177	89613288	0.474725791	FCER1G
4309	Fcer2	chr12	"2233771-2245324,2233771-2245324"	77	6.39E-10	2229369	9.194200879	FCER2
4310	Fcgbp	chr1	85003279-85046840	45	0.00320815	84995980	2.493745334	FCGBP
4311	Fcgbpl1	chr1	85058540-85096492	37	0.00890018	85054649	2.05060121	
4312	Fcgr1a	chr2	198430535-198439453	16	0.055842	198422992	1.253039036	FCGR1A
4313	Fcgr2b	chr13	"89329297-89343916,89329297-89343916,89329297-89343916,89329303-89343892"	78	0.0714493	89343495	1.146002022	FCGR2B
4314	Fcgr3a	chr13	"89385774-89396047,89386018-89396043"	12	0.30669	89390006	0.513300384	FCGR3A
4315	Fcgrt	chr1	"101086871-101096159,101086871-101096159,101086871-101096159,101086876-101095594"	25	0.026988	101077039	1.568829299	FCGRT
4316	Fcho1	chr16	"20136007-20153284,20136260-20151254,20136260-20151254,20136260-20153344,20136260-20153344,20136667-20151252,20136744-20151252"	39	0.0106107	20161998	1.974255964	FCHO1
4317	Fcho2	chr2	28927917-29029271	88	0.229525	29019196	0.639170004	FCHO2
4318	Fchsd1	chr18	"31096814-31109034,31096814-31109034,31098481-31109077,31099002-31109077"	43	0.221993	31088321	0.65366072	FCHSD1
4319	Fchsd2	chr1	"166140024-166395726,166140113-166395726,166140113-166395726,166140113-166395726,166141953-166395915"	188	0.133104	166219643	0.875808893	FCHSD2
4320	Fcmr	chr13	"47602700-47617065,47602769-47617015"	75	0.671139	47626571	0.173187524	FCMR
4321	Fcna	chr3	"2850005-2853207,2850005-2853230"	24	0.0647438	2855184	1.188801814	
4322	Fcnb	chr3	6617815-6626193	54	0.296957	6615759	0.527306433	FCN1
4323	Fcrl1	chr2	"186702310-186724205,186702310-186724205,186702310-186724205,186712065-186724205,186712065-186724205"	40	0.0153139	186726878	1.814914193	FCRL1
4324	Fcrl3	chr2	186776465-186797900	52	0.0292482	186782815	1.533900856	
4325	Fcrl6	chr13	90982813-90992415	54	0.0818874	90978133	1.086782918	FCRL6
4326	Fcrla	chr13	89296569-89306219	82	0.0621982	89296574	1.206222183	FCRLA
4327	Fcrlb	chr13	"89284800-89290950,89284800-89292074,89284800-89293266,89285866-89291371"	98	0.0353803	89277730	1.451238489	FCRLB
4328	Fdcsp	chr14	"21818998-21822148,21819394-21823687"	49	0.0476196	21827042	1.322214257	FDCSP
4329	Fdft1	chr15	46339247-46367302	88	0.0292705	46374553	1.533569859	FDFT1
4330	Fdx1	chr8	56373728-56393199	65	0.000794219	56367338	3.100059728	FDX1
4331	Fdx1l	chr8	22086533-22091450	18	0.00644747	22082454	2.19061067	
4332	Fdxacb1	chr8	"55196757-55201199,55196768-55201610"	34	0.00083408	55207243	3.078792292	FDXACB1
4333	Fdxr	chr10	103817723-103826413	56	0.0694593	103834433	1.158269598	FDXR
4334	Fech	chr18	"59941991-59975192,59942746-59972091"	117	0.5847	59977239	0.233066906	FECH
4335	Fem1a	chr9	10798933-10801140	10	0.385771	10793472	0.413670423	FEM1A
4336	Fem1b	chr8	67695040-67708313	33	0.248132	67697499	0.605317224	FEM1B
4337	Fem1c	chr18	40493155-40518988	16	0.183472	40487441	0.736430205	FEM1C
4338	Fen1	chr1	"226251515-226255630,226251515-226255910,226251515-226255910,226251515-226256156,226251515-226256160,226251517-226255886"	21	0.300459	226255610	0.522214783	FEN1
4339	Fendrr	chr19	52991282-53010509	67	0.701837	53006957	0.15376374	FENDRR
4340	Fer	chr9	"111557803-111868583,111557803-111868583,111557804-111703903,111557805-111653767,111557805-111667980,111566508-111868583,111649212-111868583,111649630-111862670"	608	0.10644	111684128	0.972895134	FER
4341	Ferd3l	chr6	53371705-53372596	23	0.00545602	53375061	2.263124046	FERD3L
4342	Fermt2	chr15	"19807805-19853245,19807805-19876389,19807805-19876414,19807805-19876414,19807805-19876414,19807805-19876414,19807805-19876414,19807805-19876557"	23	0.375225	19867719	0.425708234	FERMT2
4343	Fermt3	chr1	"222254182-222272285,222254182-222272775"	25	0.0001582	222274869	3.800793521	FERMT3
4344	Fes	chr1	"142174647-142183866,142174647-142183884"	41	0.028623	142169548	1.543284849	FES
4345	Fetub	chr11	"81648889-81657471,81648905-81660472"	10	0.338706	81640585	0.47017711	FETUB
4346	Fev	chr9	82142980-82146855	27	0.112431	82138000	0.949113927	FEV
4347	Fez1	chr8	"39305127-39350270,39305676-39350270"	121	0.344872	39315750	0.462342064	FEZ1
4348	Fez2	chr6	"963902-1003955,963905-1003954,964649-1003924,970025-1003955,983461-1003955"	112	0.0956284	1000307	1.019413111	FEZ2
4349	Ffar1	chr1	89308474-89309379	21	0.000863692	89310998	3.063641103	FFAR1
4350	Ffar2	chr1	"89268196-89271216,89268196-89271216,89268196-89271216,89268196-89271372,89268196-89271942,89268937-89269930"	47	0.0401337	89272719	1.3964908	FFAR2
4351	Ffar3	chr1	"89302034-89304064,89302506-89303847"	16	0.000863692	89310998	3.063641103	FFAR3
4352	Ffar4	chr1	256786123-256804156	121	0.509523	256777653	0.292836207	FFAR4
4353	Fga	chr2	"181997561-182013521,182006298-182013726,182006299-182013726,182006335-182012386"	95	0.188835	181994950	0.723917507	FGA
4354	Fgb	chr2	"182028043-182035026,182028115-182035025"	45	0.819719	182033228	0.086334998	FGB
4355	Fgd2	chr20	"6973355-6990026,6973355-6990026,6973356-6990026,6973397-6990023,6979231-6990026"	38	0.0128093	6990297	1.892474603	FGD2
4356	Fgd3	chr17	"15737961-15800403,15749405-15800403,15749962-15798844,15760412-15800403,15761652-15800403"	218	0.00062347	15763601	3.205184439	FGD3
4357	Fgd4	chr11	88699221-88796677	352	0.256431	88793531	0.591029474	FGD4
4358	Fgd5	chr4	"123865556-123962904,123865556-123962904"	128	0.0255478	123950991	1.592646492	FGD5
4359	Fgd6	chr7	"34951877-35063006,34951911-35054650,34951911-35062072"	277	2.48E-09	35039452	8.605011037	FGD6
4360	Fgf1	chr18	"32273829-32359831,32332600-32359831,32335566-32359831,32336101-32357074"	256	0.00134794	32307060	2.870329439	FGF1
4361	Fgf10	chr2	51673479-51747533	50	0.341353	51725480	0.466796276	FGF10
4362	Fgf12	chr11	"75606359-76171078,75795159-76171078,75905442-76168791"	987	0.132262	75811138	0.878564914	FGF12
4363	Fgf14	chr15	"110382273-111077027,110385216-110612681"	178	0.375426	110755178	0.425475654	FGF14
4364	Fgf17	chr15	"52326757-52337360,52326777-52332097"	3	0.169876	52345160	0.769867974	FGF17
4365	Fgf18	chr10	18047108-18082290	4	0.32508	18039444	0.488009749	FGF18
4366	Fgf19	chr1	218058404-218061693	23	0.0135814	218066145	1.86705546	FGF19
4367	Fgf2	chr2	124081071-124134133	114	0.535133	124126227	0.271538267	FGF2
4368	Fgf20	chr16	55152747-55159352	13	0.194982	55144234	0.710005479	FGF20
4369	Fgf22	chr7	12829784-12831675	16	0.102092	12832499	0.991008288	FGF22
4370	Fgf23	chr4	159622403-159630082	12	0.602397	159621834	0.2201172	FGF23
4371	Fgf3	chr1	218003017-218006942	43	0.0919715	218007624	1.03634673	FGF3
4372	Fgf4	chr1	"218024536-218029539,218025809-218027220"	39	0.145761	218017367	0.836358661	FGF4
4373	Fgf5	chr14	"12974920-12995584,12975154-12996046"	11	0.624288	12971848	0.204615013	FGF5
4374	Fgf7	chr3	"118315858-118368464,118315858-118368464,118317760-118366872"	115	0.17583	118309750	0.754907024	FGF7
4375	Fgf8	chr1	"265492948-265498965,265492948-265498965,265493123-265498831"	15	0.280876	265489137	0.551485368	FGF8
4376	Fgfbp1	chr14	"71647428-71650359,71647431-71650359,71649273-71650356"	14	0.0118974	71658812	1.924547937	FGFBP1
4377	Fgfbp3	chr1	255555049-255557055	4	0.302784	255548844	0.518867078	FGFBP3
4378	Fgfr1	chr16	"71265389-71318932,71265530-71318294,71265530-71318391,71265530-71318448,71265530-71318932,71265530-71318932,71265530-71318932,71265530-71318932,71265530-71319046,71266277-71306299"	161	0.00259256	71302060	2.586271184	FGFR1
4379	Fgfr1op	chr1	"53122329-53152872,53124057-53152856"	84	0.27272	53122775	0.564283012	FGFR1OP
4380	Fgfr1op2	chr4	"180887181-180908121,180887192-180908206,180887202-180904352"	27	0.759497	180892729	0.119473937	FGFR1OP2
4381	Fgfr2	chr1	"200590950-200677146,200590950-200696928,200590950-200696928,200590950-200696928,200590950-200696928,200590950-200696928,200590950-200696928,200590950-200696945,200590950-200696946,200590950-200696946,200592527-200696946"	114	0.155892	200637784	0.807176171	FGFR2
4382	Fgfr3	chr14	"82272321-82287739,82272321-82287739,82272321-82287739,82272321-82287739,82272321-82287739,82272321-82287739,82272321-82287739,82273069-82287108"	102	0.00267236	82263524	2.573105037	FGFR3
4383	Fgfr4	chr17	"9990071-10004321,9990071-10004339"	52	0.0213685	10001134	1.670225963	FGFR4
4384	Fgfrl1	chr14	2020109-2032169	75	0.368858	2025869	0.433140793	FGFRL1
4385	Fgg	chr2	"181987079-181994523,181987233-181994516"	75	0.178175	181981258	0.749153233	FGG
4386	Fggy	chr5	"114516859-114901571,114516859-114901571,114516859-114901571,114516888-114901567,114539296-114901571,114546295-114901571,114603374-114901571,114670692-114901571,114695400-114901571,114716822-114901571"	706	0.0978997	114824671	1.009218639	FGGY
4387	Fgl1	chr16	54153085-54188120	93	0.0666305	54190415	1.176326928	FGL1
4388	Fh	chr13	93651485-93677371	62	0.0984295	93679403	1.006874721	FH
4389	Fhad1	chr5	"160438574-160552327,160438574-160552327,160438574-160552327,160438574-160555103"	601	0.00102806	160496395	2.987981538	FHAD1
4390	Fhit	chr15	15697291-16862873	582	0.00772159	16680117	2.112293262	FHIT
4391	Fhl2	chr9	"49920610-49965059,49920610-49994906,49921052-49950071"	244	0.099992	49922540	1.000034745	FHL2
4392	Fhl4	chr7	"26138958-26144492,26139662-26141265"	1	0.379248	26154470	0.421076701	
4393	Fhl5	chr5	"39564240-39611053,39564240-39611273,39564240-39611273"	153	0.147435	39569064	0.831399406	FHL5
4394	Fhod3	chr18	"16650785-17332202,16650785-17332209,16650785-17332209,16650786-17332209,16650787-17332202,16650897-17332205,17180942-17332209"	1240	0.00433609	17305220	2.362901712	FHOD3
4395	Fibp	chr1	"220840077-220844412,220840138-220844405"	18	3.76E-05	220848934	4.425347267	FIBP
4396	Ficd	chr12	"48658282-48663175,48658282-48663175,48659666-48662521"	85	0.0211796	48660848	1.674082246	FICD
4397	Fig4	chr20	"45922805-46016189,45922805-46023564,45922805-46044536,45922805-46044549,45946090-46044754"	260	0.432871	45925466	0.363641509	FIG4
4398	Figla	chr4	117679255-117683618	27	0.00484702	117683829	2.314525188	FIGLA
4399	Fign	chr3	"49992249-50049778,49992249-50120601,49992249-50120601,49992392-50120392"	169	0.0223655	50006747	1.650421388	FIGN
4400	Fignl1	chr14	"91895901-91904357,91895901-91904464,91895901-91904474,91895910-91904433"	23	0.00311629	91896354	2.506362134	FIGNL1
4401	Fignl2	chr7	142693180-142716030	29	0.360218	142697721	0.443434589	FIGNL2
4402	Filip1	chr8	"87257311-87453431,87257311-87453431,87267636-87333437,87267636-87339079,87267636-87407996,87267636-87407996,87267636-87419947,87267636-87453432,87268175-87419370"	127	0.200553	87393585	0.697770837	FILIP1
4403	Filip1l	chr11	"45039487-45067447,45039487-45083424,45039487-45092622,45039487-45126448,45039487-45126449,45039487-45128876,45039487-45145095,45039487-45275141,45039708-45126449"	74	0.729194	45271593	0.137156913	FILIP1L
4404	Fip1l1	chr14	"36150380-36208395,36150426-36208388,36150426-36208390,36150426-36208390,36150426-36208392,36150426-36208393,36150434-36208278"	136	0.113395	36215407	0.945406095	FIP1L1
4405	Fis1	chr12	"22750484-22765295,22750486-22754787,22750486-22765324,22750811-22754813"	14	0.42887	22744698	0.367674332	FIS1
4406	Fitm2	chr3	159856993-159863506	25	0.459783	159848845	0.33744709	FITM2
4407	Fiz1	chr1	"72379704-72387301,72380319-72387301,72380340-72387301,72380614-72387301,72380785-72387300"	8	0.0322862	72388736	1.490983067	FIZ1
4408	Fjx1	chr3	92288817-92290919	6	0.0211234	92287370	1.675236177	FJX1
4409	Fkbp10	chr10	88326336-88338199	11	0.142984	88340073	0.844712558	FKBP10
4410	Fkbp11	chr7	"140398252-140401154,140398252-140401154,140398252-140401154,140398252-140401686,140398252-140402664"	1	0.000157994	140396172	3.801359406	FKBP11
4411	Fkbp14	chr4	"84753627-84768249,84757832-84768314"	15	0.143066	84754214	0.844463565	FKBP14
4412	Fkbp15	chr5	78133356-78229311	93	0.00763964	78228599	2.116927106	FKBP15
4413	Fkbp2	chr1	"222232348-222234401,222232348-222235102,222232348-222235102,222232348-222235111,222232348-222235113"	10	0.000130446	222227274	3.884569234	FKBP2
4414	Fkbp3	chr6	86810864-86822115	7	0.406971	86825822	0.390436537	FKBP3
4415	Fkbp4	chr4	161748992-161757447	45	0.313654	161741389	0.50354917	FKBP4
4416	Fkbp5	chr20	"7976703-8036022,7976703-8061724,7976703-8097290"	16	0.0571686	7966721	1.242842443	FKBP5
4417	Fkbp6	chr12	"24365940-24380793,24365940-24438087,24367210-24437993,24367307-24438088"	106	0.49085	24362237	0.309051205	FKBP6
4418	Fkbp7	chr3	"63522479-63535835,63522479-63535835,63522517-63534086"	22	0.000270627	63518419	3.567628877	FKBP7
4419	Fkbp9	chr4	87167513-87234198	140	0.0549992	87184486	1.259643628	FKBP9
4420	Fkbpl	chr20	4411889-4413360	73	0.0262579	4406341	1.58074001	FKBPL
4421	Fkrp	chr1	"78733460-78740803,78733460-78740803,78733505-78739107"	46	0.786073	78737848	0.104537121	FKRP
4422	Fktn	chr5	"70522000-70575679,70522175-70555984,70522176-70573942,70522176-70578270,70522176-70578270,70522176-70578270,70522238-70578270,70522238-70578270"	74	0.175817	70533124	0.754939135	FKTN
4423	Flad1	chr2	188726993-188736462	24	0.75434	188743070	0.122432863	FLAD1
4424	Flcn	chr10	"46153184-46171022,46153184-46172309,46153184-46172329,46153184-46172331,46153966-46172154,46154109-46172331"	53	0.00487832	46174630	2.311729715	FLCN
4425	Fli1	chr8	"33541931-33661111,33543216-33661049"	8	0.0172825	33657850	1.762393434	FLI1
4426	Flii	chr10	"46955459-46969468,46955480-46969406"	37	0.0405458	46971109	1.392054126	FLII
4427	Flnb	chr15	"18750151-18883019,18750151-18883019,18750155-18882959"	178	0.236734	18855514	0.625739364	FLNB
4428	Flnc	chr4	"56710933-56738775,56711085-56738779"	38	0.0246876	56707047	1.607521128	FLNC
4429	Flot1	chr20	"3427889-3438396,3427889-3438418"	68	0.00349382	3423732	2.456699473	FLOT1
4430	Flot2	chr10	"65304900-65329239,65304900-65329312,65304900-65329312,65304900-65329312,65304900-65329312,65304900-65329312,65304900-65329331,65304900-65329332"	30	0.280719	65325218	0.551728192	FLOT2
4431	Flrt1	chr1	"222340480-222360711,222340480-222405500,222340480-222417915,222344712-222350173"	139	0.000117717	222383826	3.929160814	FLRT1
4432	Flrt2	chr6	"119518458-119613534,119519713-119609296,119523338-119613534"	36	0.197241	119509870	0.705002804	FLRT2
4433	Flrt3	chr3	134684445-134696586	55	0.000187381	134675010	3.727274448	FLRT3
4434	Flt1	chr12	"9033992-9130272,9034408-9129029,9034408-9205886"	397	0.131563	9077984	0.880866232	FLT1
4435	Flt3	chr12	9360438-9437004	241	0.0589917	9436096	1.229209088	FLT3
4436	Flt3lg	chr1	101126005-101131413	31	0.0195708	101131214	1.708391421	FLT3LG
4437	Flt4	chr10	35078781-35120296	90	0.0228276	35117588	1.641539746	FLT4
4438	Flvcr1	chr13	"109624166-109629605,109628150-109629609"	54	0.0591107	109629960	1.228333898	FLVCR1
4439	Flvcr2	chr6	109617347-109681495	185	0.0603575	109641708	1.219268757	FLVCR2
4440	Fmc1	chr4	66276834-66284868	28	2.24E-06	66274205	5.650512663	FMC1
4441	Fmn1	chr3	104783092-105170761	715	0.0747147	104845553	1.126593943	FMN1
4442	Fmn2	chr13	92569255-92887302	926	0.0179323	92563133	1.746364004	FMN2
4443	Fmnl1	chr10	"91253756-91281256,91253757-91281256,91253758-91281256,91253759-91281256,91253759-91281256,91253761-91281256,91253761-91281256,91254087-91281422"	72	0.040513	91257671	1.392405596	FMNL1
4444	Fmnl3	chr7	"140981800-140993709,140981800-141012590,140981800-141021056,140981800-141033136,140981800-141033318"	2	0.000138308	141014620	3.859152699	FMNL3
4445	Fmo13	chr13	84682402-84694598	11	0.0559822	84691355	1.251950039	
4446	Fmo5	chr2	199796869-199823927	122	0.00564335	199800753	2.248463014	FMO5
4447	Fmo9	chr13	"84774273-84795081,84775436-84793540"	1	0.0792077	84796822	1.101232597	
4448	Fmod	chr13	50874885-50885503	54	0.342879	50879054	0.464859113	FMOD
4449	Fn3k	chr10	"110626461-110642262,110626463-110642262,110627126-110642262,110631493-110642260"	1	0.289843	110616574	0.537837184	FN3K
4450	Fn3krp	chr10	110614738-110622625	7	0.268372	110612112	0.571262797	FN3KRP
4451	Fnbp1	chr3	9865656-9936333	34	0.405973	9875169	0.391502849	FNBP1
4452	Fnbp1l	chr2	226691434-226742081	70	0.249393	226747682	0.603115741	FNBP1L
4453	Fndc1	chr1	"47605210-47687499,47626098-47686843"	130	0.377704	47676343	0.422848416	FNDC1
4454	Fndc10	chr5	173139344-173141564	39	0.042231	173140571	1.374368635	FNDC10
4455	Fndc11	chr3	"176721099-176724736,176721901-176724321"	28	0.775476	176724519	0.110431639	FNDC11
4456	Fndc3a	chr15	"54378864-54450715,54378864-54494188,54378864-54518427,54378864-54542524,54378864-54566481,54378864-54566785,54378864-54582954,54381043-54528480"	246	0.112304	54382088	0.949604775	FNDC3A
4457	Fndc3b	chr2	"113109948-113414397,113109948-113415171,113113042-113345551"	419	0.0367062	113409843	1.435260573	FNDC3B
4458	Fndc5	chr5	147323239-147330266	4	0.298291	147313755	0.52535985	FNDC5
4459	Fndc7	chr2	"211655481-211690716,211655655-211690802,211655655-211690802"	48	0.0114691	211669614	1.940470661	FNDC7
4460	Fndc8	chr10	70242851-70250990	18	0.000726738	70241321	3.138622131	FNDC8
4461	Fndc9	chr10	31322107-31325634	18	0.107004	31318704	0.970599987	FNDC9
4462	Fnip1	chr10	39786686-39870188	68	0.769013	39799952	0.114066318	FNIP1
4463	Fnip2	chr2	"178223560-178298358,178223560-178298358,178223565-178334925,178225903-178334900"	36	0.224439	178335338	0.648901675	FNIP2
4464	Fnta	chr16	70834956-70854724	91	0.173798	70863907	0.759955226	FNTA
4465	Fntb	chr6	99883958-99966988	186	0.0886495	99957005	1.05232371	FNTB
4466	Focad	chr5	"106409410-106729308,106461273-106729308"	280	0.438513	106707054	0.358017527	FOCAD
4467	Folh1	chr1	150323767-150395415	146	0.00232187	150400691	2.6341621	FOLH1
4468	Folr1	chr1	"166934456-166942684,166934456-166943876,166934456-166944205,166934456-166944455,166934456-166945845,166934456-166945864"	18	0.109814	166925756	0.959342289	FOLR1
4469	Folr2	chr1	"166915044-166933377,166915050-166920380,166915050-166920756,166915050-166920758"	25	0.109814	166925756	0.959342289	FOLR2
4470	Fopnl	chr10	"730214-751059,730246-751061"	16	0.0312793	727952	1.504742975	FOPNL
4471	Fos	chr6	109300432-109303299	34	0.0201593	109290561	1.695524552	FOS
4472	Fosb	chr1	80214690-80221417	17	0.62201	80209874	0.206202633	FOSB
4473	Fosl1	chr1	220826559-220835066	16	6.08E-05	220829912	4.216357219	FOSL1
4474	Fosl2	chr6	"25598935-25616995,25598935-25616995"	49	0.20128	25624396	0.696199376	FOSL2
4475	Foxa1	chr6	78516578-78549669	87	0.481231	78524482	0.317646404	FOXA1
4476	Foxa2	chr3	"142383083-142387493,142383289-142387485,142384385-142387493"	12	0.365624	142389380	0.436965304	FOXA2
4477	Foxa3	chr1	79921291-79930219	21	0.902656	79918494	0.044477727	FOXA3
4478	Foxb1	chr8	75992750-75995371	16	0.00666839	76002293	2.175979008	FOXB1
4479	Foxb2	chr1	235917299-235918792	5	0.512495	235913879	0.290310367	
4480	Foxc2	chr19	53044378-53047081	3	0.913525	53042965	0.039279563	FOXC2
4481	Foxd3	chr5	118346282-118349120	28	0.550105	118345255	0.259554408	FOXD3
4482	Foxd4	chr1	242808885-242810186	60	0.899109	242802884	0.046187655	FOXD4
4483	Foxe1	chr5	61954548-61957357	56	0.0044851	61957474	2.348227869	FOXE1
4484	Foxf1	chr19	53012305-53016100	39	0.701837	53006957	0.15376374	FOXF1
4485	Foxf2	chr17	34150416-34156450	2	0.0387753	34155647	1.411444833	FOXF2
4486	Foxg1	chr6	69971226-69974037	31	0.139682	69967032	0.854859555	FOXG1
4487	Foxh1	chr7	"117730306-117732387,117730306-117733076"	17	0.00236137	117730771	2.626835959	FOXH1
4488	Foxi1	chr10	19160565-19164505	1	0.552303	19150950	0.257822598	FOXI1
4489	Foxi2	chr1	207653703-207656831	116	0.0365976	207659724	1.436547394	FOXI2
4490	Foxi3	chr4	98775907-98780082	5	0.0590077	98788495	1.229091313	FOXI3
4491	Foxj1	chr10	105282089-105289396	7	0.89635	105291639	0.047522377	FOXJ1
4492	Foxj2	chr4	"155653445-155679815,155653717-155679793"	76	0.272321	155686300	0.564918867	FOXJ2
4493	Foxj3	chr5	"138587967-138676948,138603685-138676948,138606007-138676948"	71	0.0700825	138591826	1.154390414	FOXJ3
4494	Foxk1	chr12	14183435-14244634	184	0.391568	14249985	0.407192807	FOXK1
4495	Foxk2	chr10	"110468904-110518854,110468904-110518854,110469289-110518848"	48	0.0139375	110467739	1.85581512	FOXK2
4496	Foxl2	chr8	107194491-107197644	8	0.617822	107199985	0.209136631	FOXL2
4497	Foxm1	chr4	"161685235-161697633,161685235-161697633,161685235-161697633,161685235-161697633,161685235-161697633,161685235-161697633,161685282-161696305"	3	0.259285	161686829	0.586222607	FOXM1
4498	Foxn1	chr10	65621141-65634666	27	0.336285	65640011	0.473292504	FOXN1
4499	Foxn2	chr6	"12158126-12202220,12158465-12202220,12159268-12202220,12179225-12205450"	174	0.0463845	12184179	1.333627121	FOXN2
4500	Foxn3	chr6	"123183719-123408466,123183719-123408632,123183719-123577719,123183719-123577719,123183719-123577719,123183719-123577719,123187725-123577695"	364	0.0224059	123549118	1.649637607	FOXN3
4501	Foxn4	chr12	"48101011-48121281,48101672-48121270"	37	0.0354273	48100156	1.450661945	FOXN4
4502	Foxo1	chr2	141451233-141527016	108	0.130201	141446041	0.88538568	FOXO1
4503	Foxo3	chr20	46428077-46519156	60	0.777523	46497638	0.109286755	FOXO3
4504	Foxo6	chr5	139208152-139227288	31	0.35826	139225440	0.445801678	FOXO6
4505	Foxp1	chr4	"131362177-131464523,131362177-131464564,131362177-131465599,131362177-131532029,131362177-131601580,131362177-131608537,131362177-131701280,131362177-131719310,131362177-131719311,131362177-131963465,131362177-131963465,131362177-131963465,131362177-131963466,131362177-131963466,131366877-131598304"	18	0.270048	131936618	0.568559035	FOXP1
4506	Foxp4	chr9	"15068377-15124962,15068377-15124962,15068379-15124962,15068379-15124962,15068398-15124962,15103484-15124962,15104491-15124962"	60	0.150141	15090216	0.823500696	FOXP4
4507	Foxq1	chr17	34224307-34226941	9	0.145313	34230194	0.837695531	FOXQ1
4508	Foxr1	chr8	"48754299-48762765,48754303-48762765"	62	0.615921	48749004	0.210474988	FOXR1
4509	Foxred1	chr8	"36401316-36409873,36401316-36410589,36401316-36410589,36401316-36410589,36401316-36410589"	44	0.223277	36407593	0.651156012	FOXRED1
4510	Foxred2	chr7	"119172188-119186670,119172188-119186670,119172807-119185237"	35	0.00100112	119165388	2.999513862	FOXRED2
4511	Foxs1	chr3	148406508-148407778	41	0.0783786	148402018	1.105802498	FOXS1
4512	Fpgs	chr3	11717666-11729694	39	0.370871	11735381	0.430777125	FPGS
4513	Fpgt	chr2	"261382014-261402950,261395864-261402901"	100	0.184383	261380899	0.734279123	FPGT
4514	Fpr-rs3	chr1	59902307-59903339	48	0.0790236	59904442	1.102243189	
4515	Fpr-rs4	chr1	86073434-86074406	79	0.0561448	86063728	1.250690461	
4516	Fpr-rs6	chr1	86262502-86263534	63	0.166345	86266303	0.778990249	
4517	Fpr1	chr1	"59759024-59767258,59765834-59767042"	16	0.26157	59764841	0.582412068	FPR1
4518	Fpr2	chr1	59800557-59809507	21	0.226452	59811388	0.645023839	FPR2
4519	Fpr3	chr1	116152525-116161873	9	0.0687056	116165671	1.163007863	FPR3
4520	Fra10ac1	chr1	"256881687-256913533,256881687-256913617,256881687-256913617,256881687-256913617"	68	0.496455	256921435	0.304120111	FRA10AC1
4521	Fras1	chr14	14438391-14853016	1463	0.0154572	14430245	1.810869174	FRAS1
4522	Frat1	chr1	261071964-261075244	10	0.0526719	261066728	1.278421015	FRAT1
4523	Frat2	chr1	261088503-261091690	8	0.0270684	261101312	1.567537414	FRAT2
4524	Frem1	chr5	"101018008-101066164,101018008-101129694,101018008-101166793,101018008-101166794,101020447-101138427"	210	0.144227	101172555	0.84095343	FREM1
4525	Frem2	chr2	142747500-142885604	8	0.137665	142893394	0.861176461	FREM2
4526	Frem3	chr19	"30973328-31031817,30973331-31032331,30978409-31032331"	292	0.00361669	30986116	2.441688715	FREM3
4527	Frg1	chr16	53957857-53978865	62	0.0863619	53966296	1.063677812	FRG1
4528	Frg1l1	chr12	34003855-34004722	6	0.0112989	34012102	1.946963835	
4529	Frg2	chr14	85779926-85792527	60	0.0480793	85795952	1.318041864	FRG2
4530	Frk	chr20	"41266407-41383731,41266565-41383434"	195	0.0361395	41354213	1.44201786	FRK
4531	Frmd1	chr1	54316650-54328405	52	0.457867	54334456	0.339260656	FRMD1
4532	Frmd3	chr5	90040494-90282327	324	0.418622	90141697	0.378177952	FRMD3
4533	Frmd4a	chr17	77642301-77918210	1065	0.370712	77906979	0.430963356	FRMD4A
4534	Frmd4b	chr4	"129658136-129797356,129658136-129819083,129658136-129846549,129658136-129894235,129658136-129984735"	627	0.0277083	129714549	1.557390119	FRMD4B
4535	Frmd5	chr3	"113480779-113754829,113480779-113754829,113480779-113754831,113480779-113754831,113480779-113755286"	664	0.0231174	113661097	1.636061012	FRMD5
4536	Frmd6	chr6	"93281381-93358888,93281381-93358888,93281407-93358840,93281508-93358888"	130	0.0297631	93364196	1.526321836	FRMD6
4537	Frmd8	chr1	"221213311-221233967,221213313-221233923"	66	3.89E-05	221241592	4.410563146	FRMD8
4538	Frmpd1	chr5	"60735412-60837773,60735772-60837773,60736350-60837773,60745595-60837773,60753261-60837773,60753261-60837773,60768958-60837773,60779071-60837773,60805379-60837773"	106	0.00675494	60762107	2.170378504	FRMPD1
4539	Frmpd2	chr16	"9745170-9879489,9745170-9879489,9745170-9879490,9774767-9879489"	451	0.0225413	9766588	1.647021041	FRMPD2
4540	Frrs1	chr2	220415567-220469559	20	0.142512	220471956	0.846148565	FRRS1
4541	Frrs1l	chr5	73997957-74029381	78	0.144007	73999231	0.841616397	FRRS1L
4542	Frs2	chr7	"60128505-60210477,60128507-60210482"	82	0.49027	60165508	0.309564681	FRS2
4543	Frs3	chr9	"15297793-15304617,15297793-15305080,15297793-15306850"	66	0.179099	15301622	0.746906839	FRS3
4544	Fry	chr12	5573728-5822874	901	3.70E-11	5776341	10.43218697	FRY
