	source	interaction	target
734	SCN4A	interacts with	EPHB2
735	SCN4A	interacts with	NRCAM
736	SCN4A	interacts with	ASIC2
737	SCN4A	interacts with	ABL1
738	SCN4A	interacts with	RASGRF1
739	FOXO1	interacts with	GARS
740	FOXO1	interacts with	NCOA3
741	FOXO1	interacts with	ZBTB18
742	FOXO1	interacts with	CAMK2G
743	FOXO1	interacts with	PRKCA
744	FOXO1	interacts with	AKT3
745	FOXO1	interacts with	ABL1
746	FOXO1	interacts with	MAST3
747	FOXO1	interacts with	ZBTB20
748	FOXO1	interacts with	UTRN
749	FOXO1	interacts with	AXIN1
750	FOXO1	interacts with	BCL2
751	FOXO1	interacts with	GFI1B
752	FOXO1	interacts with	CADPS
753	FOXO1	interacts with	DUSP6
754	FOXO1	interacts with	BBS2
755	FOXO1	interacts with	BCL11B
756	TUB	interacts with	RALYL
757	CACNB1	interacts with	CAMK2G
758	CACNB1	interacts with	PPP2R2A
759	CACNB1	interacts with	PRKCA
760	CACNB1	interacts with	A1CF
761	CACNB1	interacts with	MYOZ2
762	PRKCA	interacts with	STX4
763	PRKCA	interacts with	CAMK2G
764	PRKCA	interacts with	UTRN
765	PRKCA	interacts with	DAG1
766	PRKCA	interacts with	HIST1H3A
767	PRKCA	interacts with	FFAR4
768	PRKCA	interacts with	BCL11B
769	GRIA3	interacts with	TUB
770	GRIA3	interacts with	CAMK2G
771	GRIA3	interacts with	PRKCA
772	MYOZ2	interacts with	PDLIM3
773	BAIAP2	interacts with	MAPK1
774	BAIAP2	interacts with	MAP2K3
775	BAIAP2	interacts with	KCTD3
776	BAIAP2	interacts with	NCOA3
777	BAIAP2	interacts with	YWHAB
778	BAIAP2	interacts with	INSR
779	BAIAP2	interacts with	SDC1
780	BAIAP2	interacts with	GPC1
781	BAIAP2	interacts with	ABL1
782	BAIAP2	interacts with	MAST3
783	BAIAP2	interacts with	TIAM1
784	BAIAP2	interacts with	LIN7C
785	BAIAP2	interacts with	EPS8L1
786	BAIAP2	interacts with	DAPK3
787	BAIAP2	interacts with	TBCD
788	BAIAP2	interacts with	KIF13B
789	BAIAP2	interacts with	CLBA1
790	PCSK2	interacts with	SP3
791	PCSK2	interacts with	CACNA1C
792	PCSK2	interacts with	SLIT3
793	PCSK2	interacts with	ABL1
794	PCSK2	interacts with	VSX1
795	PCSK2	interacts with	SYT2
796	PCSK2	interacts with	CADPS
797	PCSK2	interacts with	DOCK2
798	PCSK2	interacts with	GRIA3
799	PCSK2	interacts with	CHGB
800	PCSK2	interacts with	DOCK3
801	PCSK2	interacts with	MC4R
802	PCSK2	interacts with	RIMS2
803	PCSK2	interacts with	BCL11B
804	SLIT3	interacts with	NES
805	SLIT3	interacts with	TUB
806	SLIT3	interacts with	ZBTB18
807	SLIT3	interacts with	RALYL
808	SLIT3	interacts with	PRKCA
809	SLIT3	interacts with	GRIA3
810	MYH4	interacts with	MAPK1
811	MYH4	interacts with	PRKCA
812	MYH4	interacts with	MYO5C
813	MYH4	interacts with	PCSK2
814	MYH4	interacts with	DNAH3
815	MYH4	interacts with	MYF5
816	MYH4	interacts with	PDLIM3
817	MYH4	interacts with	RIMS2
818	MYH4	interacts with	KIF13B
819	SLC6A7	interacts with	CACNA1C
820	SLC6A7	interacts with	NRXN1
821	SLC6A7	interacts with	RAPSN
822	SLC6A7	interacts with	VSX1
823	SLC6A7	interacts with	MMP24
824	SLC6A7	interacts with	CACNB1
825	SLC6A7	interacts with	TYRO3
826	SLC6A7	interacts with	RASAL1
827	SLC6A7	interacts with	GRIA3
828	SLC6A7	interacts with	THY1
829	SLC6A7	interacts with	RALYL
830	SLC6A7	interacts with	SLIT3
831	SLC6A7	interacts with	CCDC40
832	SLC6A7	interacts with	DAPK2
833	MYO5C	interacts with	SPDEF
834	MYO5C	interacts with	RBSN
835	MYO5C	interacts with	CLMN
836	MYO5C	interacts with	UTRN
837	MYO5C	interacts with	SPTBN1
838	MYO5C	interacts with	TRPC4
839	MYO5C	interacts with	ZBTB20
840	MYO5C	interacts with	DAPK3
841	SPINT1	interacts with	MAP2K3
842	SPINT1	interacts with	SSH3
843	SPINT1	interacts with	WWC1
844	SPINT1	interacts with	CAPN1
845	SPINT1	interacts with	STK4
846	SPINT1	interacts with	MYO5C
847	SPINT1	interacts with	DAPK2
848	SPINT1	interacts with	CASZ1
849	SPINT1	interacts with	PKP3
850	SPINT1	interacts with	TMEM45B
851	SPINT1	interacts with	TMEM54
852	SPINT1	interacts with	SYTL1
853	SPINT1	interacts with	PROM2
854	SPINT1	interacts with	CORIN
855	SPINT1	interacts with	KDM6B
856	SSH3	interacts with	YWHAB
857	SSH3	interacts with	PPP3CA
858	SSH3	interacts with	PTK7
859	SSH3	interacts with	INSR
860	SSH3	interacts with	PKP3
861	SSH3	interacts with	TYRO3
862	SSH3	interacts with	DTX4
863	SSH3	interacts with	CRKL
864	SSH3	interacts with	IGF1R
865	SSH3	interacts with	SULT1A2
866	SSH3	interacts with	ANGEL1
867	SSH3	interacts with	SYTL1
868	SSH3	interacts with	ZNF768
869	SSH3	interacts with	NEIL1
870	SSH3	interacts with	MYO5C
871	SSH3	interacts with	EPHB2
872	SSH3	interacts with	CAPN1
873	SSH3	interacts with	ABL1
874	SSH3	interacts with	SLC38A10
875	WWC1	interacts with	YWHAB
876	WWC1	interacts with	DMD
877	WWC1	interacts with	CSPG5
878	WWC1	interacts with	DYNLL2
879	WWC1	interacts with	FEZ2
880	WWC1	interacts with	MYO5C
881	WWC1	interacts with	DCHS1
882	WWC1	interacts with	SDC1
883	WWC1	interacts with	ABL1
884	WWC1	interacts with	PRKCA
885	WWC1	interacts with	HIST1H3C
886	WWC1	interacts with	HIST1H3A
887	CAPN1	interacts with	PRKAR1A
888	CAPN1	interacts with	MAPK1
889	CAPN1	interacts with	MAP2K3
890	CAPN1	interacts with	STX4
891	CAPN1	interacts with	UFSP2
892	CAPN1	interacts with	NES
893	CAPN1	interacts with	ILK
894	CAPN1	interacts with	PNPLA6
895	CAPN1	interacts with	AL136295.1
896	CAPN1	interacts with	TMEM214
897	CAPN1	interacts with	SPTBN1
898	CAPN1	interacts with	GAS2
899	CAPN1	interacts with	PEX6
900	CAPN1	interacts with	PKP3
901	CAPN1	interacts with	EHMT2
902	CAPN1	interacts with	DAG1
903	CAPN1	interacts with	CRKL
904	CAPN1	interacts with	ARHGEF18
905	CAPN1	interacts with	KLHDC3
906	CAPN1	interacts with	PIK3R1
907	CAPN1	interacts with	SYTL1
908	CAPN1	interacts with	AGPAT1
909	CAPN1	interacts with	SLC38A10
910	CAPN1	interacts with	TAF10
911	CAPN1	interacts with	ABR
912	CAPN1	interacts with	VPS39
913	CAPN1	interacts with	ABL1
914	CAPN1	interacts with	GTF3C1
915	CAPN1	interacts with	MYO5C
916	STK4	interacts with	MAP2K1
917	STK4	interacts with	MAPK1
918	STK4	interacts with	NCOA3
919	STK4	interacts with	SULT1A4
920	STK4	interacts with	YWHAB
921	STK4	interacts with	ILK
922	STK4	interacts with	MAP2K5
923	STK4	interacts with	RPL4
924	STK4	interacts with	CCL14
925	STK4	interacts with	INSR
926	STK4	interacts with	GPC1
927	STK4	interacts with	A1CF
928	STK4	interacts with	UTRN
929	STK4	interacts with	NKTR
930	STK4	interacts with	NSUN3
931	STK4	interacts with	FOXO1
932	STK4	interacts with	AKT3
933	STK4	interacts with	NCOA5
934	STK4	interacts with	ERC1
935	STK4	interacts with	NFATC3
936	STK4	interacts with	AXIN1
937	STK4	interacts with	TNRC6A
938	STK4	interacts with	DOCK2
939	STK4	interacts with	HELZ
940	STK4	interacts with	XRCC5
941	STK4	interacts with	DDIT4L
942	STK4	interacts with	KDM5A
943	STK4	interacts with	ABL1
944	STK4	interacts with	ZBTB40
945	STK4	interacts with	SPG7
946	CASZ1	interacts with	SLC6A7
947	CASZ1	interacts with	BCL2
948	CASZ1	interacts with	VSX1
949	CASZ1	interacts with	CCDC40
950	PKP3	interacts with	IGF2R
951	PKP3	interacts with	NCOA3
952	PKP3	interacts with	MMP11
953	PKP3	interacts with	LGALS4
954	PKP3	interacts with	WWC1
955	PKP3	interacts with	SDC1
956	PKP3	interacts with	CAMK2G
957	PKP3	interacts with	MAST3
958	PKP3	interacts with	KPNB1
959	PKP3	interacts with	EPHB2
960	PKP3	interacts with	PLEC
961	PKP3	interacts with	EPS8L1
962	PKP3	interacts with	SYT16
963	PKP3	interacts with	BAIAP2
964	TMEM45B	interacts with	TSPAN8
965	TMEM45B	interacts with	HHLA2
966	TMEM54	interacts with	CLCN2
967	SYTL1	interacts with	C2CD5
968	SYTL1	interacts with	NRXN1
969	SYTL1	interacts with	RASAL1
970	SYTL1	interacts with	PLCD4
971	CORIN	interacts with	SUMO1
972	CORIN	interacts with	GPRC5B
973	CORIN	interacts with	CSPG5
974	KDM6B	interacts with	GARS
975	KDM6B	interacts with	MAP2K3
976	KDM6B	interacts with	KDM5A
977	KDM6B	interacts with	HIST1H3A
978	KDM6B	interacts with	KDM8
979	KDM6B	interacts with	TRIM66
980	KDM6B	interacts with	FAM53C
981	KDM6B	interacts with	JMJD7
982	GPR151	interacts with	GPR139
983	GPR139	interacts with	FFAR4
984	GPR139	interacts with	GPR141
985	GPR139	interacts with	OR6B3
986	GPR139	interacts with	GPR61
987	GPR139	interacts with	OR2W3
988	GPR139	interacts with	OR8S1
989	GPR139	interacts with	OR2A1
990	GPR139	interacts with	OR6Y1
991	GPR139	interacts with	GPR148
992	GPR139	interacts with	OR6B2
993	GPR139	interacts with	OR5A2
994	UNC13D	interacts with	ZNF263
995	UNC13D	interacts with	RPH3A
996	UNC13D	interacts with	SYT1
997	UNC13D	interacts with	UNC13B
998	UNC13D	interacts with	RAB27B
999	UNC13D	interacts with	SYT12
1000	UNC13D	interacts with	CADPS
1001	UNC13D	interacts with	SYTL5
1002	UNC13D	interacts with	SYTL1
1003	UNC13D	interacts with	SYT2
1004	UNC13D	interacts with	SYT6
1005	UNC13D	interacts with	SYT7
1006	UNC13D	interacts with	SYTL4
1007	UNC13D	interacts with	SYTL3
1008	RPH3A	interacts with	RAB11FIP2
1009	RPH3A	interacts with	SLC6A7
1010	RPH3A	interacts with	RBSN
1011	RPH3A	interacts with	RALYL
1012	RPH3A	interacts with	SLIT3
1013	RPH3A	interacts with	CAMK2G
1014	RPH3A	interacts with	DOC2A
1015	RPH3A	interacts with	NRXN1
1016	RPH3A	interacts with	RIT2
1017	RPH3A	interacts with	AKAP6
1018	RPH3A	interacts with	SYT1
1019	RPH3A	interacts with	SYT2
1020	RPH3A	interacts with	SYT4
1021	RPH3A	interacts with	SYT6
1022	RPH3A	interacts with	SYT7
1023	RPH3A	interacts with	CADPS
1024	RPH3A	interacts with	SYTL5
1025	RPH3A	interacts with	RAB27B
1026	RPH3A	interacts with	SYTL4
1027	RPH3A	interacts with	SYTL1
1028	RPH3A	interacts with	CASK
1029	RPH3A	interacts with	SYT12
1030	RPH3A	interacts with	SYT17
1031	RPH3A	interacts with	ELAVL4
1032	RPH3A	interacts with	RIMS2
1033	RPH3A	interacts with	PLCD4
1034	RPH3A	interacts with	ESYT3
1035	RPH3A	interacts with	STXBP5
1036	SYT1	interacts with	MAP2K1
1037	SYT1	interacts with	RAB5B
1038	SYT1	interacts with	STX4
1039	SYT1	interacts with	IGF2R
1040	SYT1	interacts with	CACNA1C
1041	SYT1	interacts with	YWHAB
1042	SYT1	interacts with	SLC6A7
1043	SYT1	interacts with	CACNB1
1044	SYT1	interacts with	RALYL
1045	SYT1	interacts with	CAMK2G
1046	SYT1	interacts with	CACNA1D
1047	SYT1	interacts with	ELAVL2
1048	SYT1	interacts with	DOC2A
1049	SYT1	interacts with	NRXN1
1050	SYT1	interacts with	RIT2
1051	SYT1	interacts with	CHST1
1052	SYT1	interacts with	ELAVL4
1053	SYT1	interacts with	SYT2
1054	SYT1	interacts with	ASIC2
1055	SYT1	interacts with	RIMS2
1056	SYT1	interacts with	ERC1
1057	SYT1	interacts with	PPFIA4
1058	SYT1	interacts with	SYTL4
1059	SYT1	interacts with	LIN7C
1060	SYT1	interacts with	CLSTN2
1061	SYT1	interacts with	RAB27B
1062	SYT1	interacts with	SYT7
1063	SYT1	interacts with	NLGN1
1064	SYT1	interacts with	CADPS
1065	SYT1	interacts with	FEZ2
1066	SYT1	interacts with	SYT12
1067	SYT1	interacts with	SYT16
1068	SYT1	interacts with	CASK
1069	SYT1	interacts with	CHGB
1070	SYT1	interacts with	NRCAM
1071	SYT1	interacts with	SYT4
1072	SYT1	interacts with	SYT6
1073	UNC13B	interacts with	CACNA1C
1074	UNC13B	interacts with	CAMK2G
1075	UNC13B	interacts with	CACNA1D
1076	UNC13B	interacts with	PRKCA
1077	UNC13B	interacts with	MYO5C
1078	UNC13B	interacts with	PCSK2
1079	UNC13B	interacts with	DOC2A
1080	UNC13B	interacts with	SYT1
1081	UNC13B	interacts with	SYT2
1082	UNC13B	interacts with	CADPS
1083	UNC13B	interacts with	TFAP4
1084	UNC13B	interacts with	RAB27B
1085	UNC13B	interacts with	LIN7C
1086	UNC13B	interacts with	SYTL4
1087	UNC13B	interacts with	CASK
1088	UNC13B	interacts with	SYT12
1089	UNC13B	interacts with	VPS33B
1090	UNC13B	interacts with	CCDC40
1091	UNC13B	interacts with	PPFIA4
1092	UNC13B	interacts with	KIF13B
1093	RAB27B	interacts with	RAP1A
1094	RAB27B	interacts with	GARS
1095	RAB27B	interacts with	RAB5B
1096	RAB27B	interacts with	GBA
1097	RAB27B	interacts with	SYTL1
1098	CADPS	interacts with	RALYL
1099	SYTL5	interacts with	C2CD5
1100	SYTL5	interacts with	RAB27B
1101	SYTL5	interacts with	SYTL4
1102	SYTL5	interacts with	RASAL1
1103	SYTL5	interacts with	SYTL3
1104	SYTL5	interacts with	SYT16
1105	SYTL5	interacts with	SYT14
1106	SYTL5	interacts with	PLCD4
1107	SYTL5	interacts with	CCDC85A
1108	SYT2	interacts with	RAB5B
1109	SYT2	interacts with	IGF2R
1110	SYT2	interacts with	DOC2A
1111	SYT2	interacts with	NRXN1
1112	SYT2	interacts with	RAPSN
1113	SYT2	interacts with	SYT12
1114	SYT2	interacts with	SYT4
1115	SYT2	interacts with	SYT6
1116	SYT2	interacts with	SYT7
1117	SYT6	interacts with	STX4
1118	SYT6	interacts with	SYT12
1119	SYT7	interacts with	SUMO1
1120	SYT7	interacts with	STX4
1121	SYT7	interacts with	DOC2A
1122	SYT7	interacts with	NRXN1
1123	SYT7	interacts with	SYT12
1124	SYT7	interacts with	SYT6
1125	SYT7	interacts with	SYT4
1126	SYTL4	interacts with	C2CD5
1127	SYTL4	interacts with	MYO5C
1128	SYTL4	interacts with	RAB27B
1129	SYTL4	interacts with	RASAL1
1130	SYTL4	interacts with	PLCD4
1131	SYTL3	interacts with	SYT1
1132	SYTL3	interacts with	NRXN1
1133	SYTL3	interacts with	RAB27B
1134	GDPD4	interacts with	TPGS1
1135	TPGS1	interacts with	GMIP
1136	NPFFR1	interacts with	GNAO1
1137	NPFFR1	interacts with	PLCB2
1138	NPFFR1	interacts with	TRPM3
1139	NPFFR1	interacts with	TRIO
1140	NPFFR1	interacts with	PRLHR
1141	GNAO1	interacts with	PRKAR1A
1142	GNAO1	interacts with	MAPK1
1143	GNAO1	interacts with	NCOA3
1144	GNAO1	interacts with	NYX
1145	GNAO1	interacts with	CACNA1C
1146	GNAO1	interacts with	YWHAB
1147	GNAO1	interacts with	SLC6A7
1148	GNAO1	interacts with	NRXN1
1149	GNAO1	interacts with	RIT2
1150	GNAO1	interacts with	AKAP6
1151	GNAO1	interacts with	VSX1
1152	GNAO1	interacts with	SYT1
1153	GNAO1	interacts with	EPS8L1
1154	GNAO1	interacts with	CCP110
1155	GNAO1	interacts with	CPNE6
1156	GNAO1	interacts with	CADPS
1157	GNAO1	interacts with	NCAN
1158	GNAO1	interacts with	LGR5
1159	GNAO1	interacts with	TFAP4
1160	GNAO1	interacts with	HS3ST2
1161	GNAO1	interacts with	PTPRD
1162	GNAO1	interacts with	IFT22
1163	GNAO1	interacts with	CSPG5
1164	GNAO1	interacts with	GLIS2
1165	GNAO1	interacts with	GPC5
1166	GNAO1	interacts with	PRKCA
1167	GNAO1	interacts with	ERAS
1168	GNAO1	interacts with	PLCB2
1169	GNAO1	interacts with	ERC1
1170	GNAO1	interacts with	NFATC3
1171	GNAO1	interacts with	PPP1R14D
1172	GNAO1	interacts with	PRPH
1173	GNAO1	interacts with	CACNA1D
1174	GNAO1	interacts with	IGF1R
1175	GNAO1	interacts with	NME5
1176	GNAO1	interacts with	ASIC2
1177	GNAO1	interacts with	TOX3
1178	GNAO1	interacts with	THY1
1179	GNAO1	interacts with	AKT3
1180	GNAO1	interacts with	ADORA2B
1181	GNAO1	interacts with	LSAMP
1182	GNAO1	interacts with	PCSK2
1183	GNAO1	interacts with	CAMK4
1184	GNAO1	interacts with	RALYL
1185	GNAO1	interacts with	MC4R
1186	GNAO1	interacts with	RCAN2
1187	GNAO1	interacts with	RIMS2
1188	GNAO1	interacts with	SLIT3
1189	GNAO1	interacts with	BCL11B
1190	GNAO1	interacts with	ELAVL4
1191	GNAO1	interacts with	GP2
1192	GNAO1	interacts with	RASGRF1
1193	GNAO1	interacts with	STMN4
1194	GNAO1	interacts with	PLCD4
1195	GNAO1	interacts with	RGS19
1196	GNAO1	interacts with	PRLHR
1197	PLCB2	interacts with	MAP2K3
1198	PLCB2	interacts with	TBC1D15
1199	PLCB2	interacts with	CACNA1C
1200	PLCB2	interacts with	SLC6A7
1201	PLCB2	interacts with	INSR
1202	PLCB2	interacts with	PRKCA
1203	PLCB2	interacts with	DOCK2
1204	PLCB2	interacts with	CAMK2G
1205	PLCB2	interacts with	MAP2K6
1206	PLCB2	interacts with	PLCD4
1207	TRPM3	interacts with	CACNA1C
1208	TRPM3	interacts with	SLC6A7
1209	TRPM3	interacts with	TULP1
1210	TRPM3	interacts with	PRPH2
1211	TRPM3	interacts with	RASGRF1
1212	TRIO	interacts with	MAP2K1
1213	TRIO	interacts with	NCOA3
1214	TRIO	interacts with	YWHAB
1215	TRIO	interacts with	MAP2K5
1216	TRIO	interacts with	INSR
1217	TRIO	interacts with	AKT3
1218	TRIO	interacts with	ABL1
1219	TRIO	interacts with	NKTR
1220	TRIO	interacts with	UTRN
1221	TRIO	interacts with	SPTBN1
1222	TRIO	interacts with	PLEC
1223	TRIO	interacts with	TYRO3
1224	TRIO	interacts with	DAPK3
1225	TRIO	interacts with	DOCK2
1226	TRIO	interacts with	CASK
1227	TRIO	interacts with	AKAP6
1228	TRIO	interacts with	DUSP6
1229	TRIO	interacts with	GLIS2
1230	TRIO	interacts with	CLVS1
1231	TRIO	interacts with	TGFBRAP1
1232	TRIO	interacts with	NAV1
1233	TRIO	interacts with	MMP16
1234	PRLHR	interacts with	POU1F1
1235	STX7	interacts with	UBR2
1236	STX7	interacts with	RNF103
1237	STX7	interacts with	IGF2R
1238	STX7	interacts with	STXBP6
1239	STX7	interacts with	UTRN
1240	STX7	interacts with	SYT2
1241	STX7	interacts with	VPS4A
1242	STX7	interacts with	C2CD5
1243	STX7	interacts with	TSNARE1
1244	STX7	interacts with	RAB5B
1245	STX7	interacts with	STXBP5
1246	STX7	interacts with	STX4
1247	STX7	interacts with	RB1
1248	STX7	interacts with	VPS18
1249	STX7	interacts with	VPS11
1250	STX7	interacts with	MON1A
1251	STX7	interacts with	ADD3
1252	STX7	interacts with	EHBP1
1253	STX7	interacts with	RBSN
1254	STX7	interacts with	VPS33B
1255	STX7	interacts with	VPS33A
1256	STX7	interacts with	STX16-NPEPL1
1257	STX7	interacts with	HSP90AB1
1258	STX7	interacts with	SNAPC3
1259	STX7	interacts with	TIMM10B
1260	STX7	interacts with	RAB11FIP2
1261	STX7	interacts with	NPEPPS
1262	STX7	interacts with	MAPK6
1263	STX7	interacts with	TGFBRAP1
1264	STX7	interacts with	VPS39
1265	UBR2	interacts with	SP3
1266	UBR2	interacts with	IGF2R
1267	UBR2	interacts with	KDM3B
1268	UBR2	interacts with	KDM3A
1269	UBR2	interacts with	NES
1270	UBR2	interacts with	NDUFS3
1271	UBR2	interacts with	RSRC2
1272	UBR2	interacts with	NKTR
1273	UBR2	interacts with	HS3ST2
1274	UBR2	interacts with	SLC25A12
1275	UBR2	interacts with	ZBTB18
1276	UBR2	interacts with	TBC1D15
1277	UBR2	interacts with	TBCC
1278	UBR2	interacts with	NCOA3
1279	UBR2	interacts with	VPS8
1280	UBR2	interacts with	SLC35E2B
1281	UBR2	interacts with	USP34
1282	UBR2	interacts with	KDM6A
1283	UBR2	interacts with	NFATC3
1284	UBR2	interacts with	MACF1
1285	UBR2	interacts with	C2CD5
1286	UBR2	interacts with	METTL2A
1287	UBR2	interacts with	ZFC3H1
1288	UBR2	interacts with	RAB11FIP2
1289	UBR2	interacts with	PSMC3
1290	UBR2	interacts with	EIF3A
1291	UBR2	interacts with	ADD3
1292	UBR2	interacts with	ZBTB20
1293	UBR2	interacts with	HELZ
1294	UBR2	interacts with	NBR1
1295	UBR2	interacts with	KDM5A
1296	UBR2	interacts with	AVL9
1297	RNF103	interacts with	RAB27B
1298	RNF103	interacts with	PPP2R2A
1299	RNF103	interacts with	KIF13B
1300	RNF103	interacts with	NBR1
1301	RNF103	interacts with	RNF170
1302	IGF2R	interacts with	LAMP1
1303	IGF2R	interacts with	NCOA3
1304	IGF2R	interacts with	UTRN
1305	IGF2R	interacts with	NBR1
1306	IGF2R	interacts with	DAG1
1307	STXBP6	interacts with	STX4
1308	VPS4A	interacts with	PEX6
1309	C2CD5	interacts with	UTRN
1310	C2CD5	interacts with	ZBTB18
1311	C2CD5	interacts with	LIN7C
1312	C2CD5	interacts with	SUGP2
1313	C2CD5	interacts with	SYT12
1314	TSNARE1	interacts with	RAB5B
1315	TSNARE1	interacts with	STX4
1316	TSNARE1	interacts with	VPS4A
1317	TSNARE1	interacts with	VPS39
1318	TSNARE1	interacts with	CASQ2
1319	TSNARE1	interacts with	STXBP5
1320	TSNARE1	interacts with	STX16-NPEPL1
1321	RAB5B	interacts with	RAP1A
1322	RAB5B	interacts with	IGF2R
1323	RAB5B	interacts with	UTRN
1324	RAB5B	interacts with	VPS4A
1325	RAB5B	interacts with	LAMP1
1326	RAB5B	interacts with	AGPAT1
1327	RAB5B	interacts with	VPS11
1328	STXBP5	interacts with	STX4
1329	STXBP5	interacts with	STXBP6
1330	STX4	interacts with	STX16-NPEPL1
1331	STX4	interacts with	LAMP1
1332	RB1	interacts with	SUMO1
1333	RB1	interacts with	SP3
1334	RB1	interacts with	RAP1A
1335	RB1	interacts with	CANX
1336	RB1	interacts with	MAPK1
1337	RB1	interacts with	MAP2K3
1338	RB1	interacts with	IGF2R
1339	RB1	interacts with	DNAJA3
1340	RB1	interacts with	DMD
1341	RB1	interacts with	NES
1342	RB1	interacts with	NSD2
1343	RB1	interacts with	TFAP4
1344	RB1	interacts with	BCL2
1345	RB1	interacts with	ZBTB18
1346	RB1	interacts with	DUSP6
1347	RB1	interacts with	KPNA3
1348	RB1	interacts with	EHMT2
1349	RB1	interacts with	TAF4
1350	RB1	interacts with	TAF1
1351	RB1	interacts with	FOXO1
1352	RB1	interacts with	TYRO3
1353	RB1	interacts with	NCOA3
1354	RB1	interacts with	CCL14
1355	RB1	interacts with	BNC2
1356	RB1	interacts with	HIST1H3C
1357	RB1	interacts with	HIST1H3A
1358	RB1	interacts with	ILK
1359	RB1	interacts with	RBSN
1360	RB1	interacts with	LIN7C
1361	RB1	interacts with	TIMM10B
1362	RB1	interacts with	PTBP2
1363	RB1	interacts with	PIK3R1
1364	RB1	interacts with	HIST1H4E
1365	RB1	interacts with	C2CD5
1366	RB1	interacts with	GTF3C2
1367	RB1	interacts with	ZNF106
1368	RB1	interacts with	HELZ
1369	RB1	interacts with	HCFC1
1370	RB1	interacts with	HHAT
1371	RB1	interacts with	AKT3
1372	RB1	interacts with	SNAPC3
1373	RB1	interacts with	CBX5
1374	RB1	interacts with	ABL1
1375	RB1	interacts with	GTF3C1
1376	RB1	interacts with	ADD3
1377	RB1	interacts with	CENPF
1378	RB1	interacts with	LDB2
1379	RB1	interacts with	ZNF768
1380	RB1	interacts with	BCL11B
1381	RB1	interacts with	XRCC5
1382	RB1	interacts with	KDM5A
1383	VPS18	interacts with	GARS
1384	VPS18	interacts with	MAPK6
1385	VPS18	interacts with	HSP90AB1
1386	VPS18	interacts with	RAB5B
1387	VPS18	interacts with	VPS4A
1388	VPS18	interacts with	RBSN
1389	VPS18	interacts with	RSRC1
1390	VPS18	interacts with	VPS39
1391	VPS18	interacts with	VPS33A
1392	VPS18	interacts with	POLR3A
1393	VPS18	interacts with	MON1A
1394	VPS18	interacts with	VPS8
1395	VPS18	interacts with	TBCD
1396	VPS18	interacts with	VPS33B
1397	VPS18	interacts with	TGFBRAP1
1398	VPS18	interacts with	CT55
1399	VPS18	interacts with	CLHC1
1400	VPS18	interacts with	STX16-NPEPL1
1401	VPS18	interacts with	MON1B
1402	VPS18	interacts with	TSNARE1
1403	VPS18	interacts with	VPS11
1404	VPS11	interacts with	ZNF263
1405	VPS11	interacts with	VPS4A
1406	VPS11	interacts with	PEX6
1407	MON1A	interacts with	DYNLL2
1408	MON1A	interacts with	GFI1B
1409	MON1A	interacts with	VPS11
1410	MON1A	interacts with	VPS33B
1411	MON1A	interacts with	MON1B
1412	ADD3	interacts with	SUMO1
1413	ADD3	interacts with	RAB5B
1414	ADD3	interacts with	C2CD5
1415	ADD3	interacts with	NBR1
1416	ADD3	interacts with	DENND4C
1417	ADD3	interacts with	UTRN
1418	ADD3	interacts with	BBS2
1419	ADD3	interacts with	NCOA3
1420	ADD3	interacts with	PRKCA
1421	ADD3	interacts with	LIN7C
1422	ADD3	interacts with	EIF3A
1423	ADD3	interacts with	ZBTB20
1424	ADD3	interacts with	PAPSS1
1425	ADD3	interacts with	IQCK
1426	ADD3	interacts with	CAMK2G
1427	ADD3	interacts with	KDM5A
1428	EHBP1	interacts with	MAPK6
1429	EHBP1	interacts with	RAB5B
1430	EHBP1	interacts with	RSRC2
1431	EHBP1	interacts with	RB1
1432	EHBP1	interacts with	TSPAN5
1433	EHBP1	interacts with	C2CD5
1434	EHBP1	interacts with	RAB11FIP2
1435	EHBP1	interacts with	ADD3
1436	EHBP1	interacts with	MACF1
1437	EHBP1	interacts with	AGAP1
1438	EHBP1	interacts with	USP34
1439	EHBP1	interacts with	INSR
1440	EHBP1	interacts with	PTK7
1441	EHBP1	interacts with	PTPRK
1442	EHBP1	interacts with	PIK3R1
1443	EHBP1	interacts with	PACSIN2
1444	EHBP1	interacts with	SOX5
1445	EHBP1	interacts with	CASK
1446	RBSN	interacts with	RAB5B
1447	RBSN	interacts with	VPS4A
1448	RBSN	interacts with	TSNARE1
1449	VPS33B	interacts with	RBSN
1450	VPS33B	interacts with	VPS39
1451	VPS33B	interacts with	CTNNBL1
1452	VPS33B	interacts with	DENND4C
1453	VPS33B	interacts with	TSNARE1
1454	VPS33B	interacts with	CCDC22
1455	VPS33B	interacts with	VPS11
1456	VPS33A	interacts with	VPS4A
1457	VPS33A	interacts with	RBSN
1458	VPS33A	interacts with	PSMC3
1459	VPS33A	interacts with	VPS39
1460	VPS33A	interacts with	CT55
1461	VPS33A	interacts with	SCFD2
1462	VPS33A	interacts with	TGFBRAP1
1463	VPS33A	interacts with	VPS8
1464	VPS33A	interacts with	TSNARE1
1465	VPS33A	interacts with	VPS33B
1466	VPS33A	interacts with	VPS11
1467	VPS33A	interacts with	MON1A
1468	VPS33A	interacts with	MON1B
1469	SNAPC3	interacts with	TAF1
1470	SNAPC3	interacts with	UFSP2
1471	SNAPC3	interacts with	POLR3F
1472	SNAPC3	interacts with	UTRN
1473	SNAPC3	interacts with	POLR3A
