description	name	p_value	precision	recall	query_size	effective_domain_size	intersection_size	native	source	term_size	intersections	community
"""The chemical reactions and pathways involving glycoproteins, any protein that contains covalently bound glycose (i.e. monosaccharide) residues; the glycose occurs most commonly as oligosaccharide or fairly small polysaccharide but occasionally as monosaccharide."" [GOC:go_curators, ISBN:0198506732]"	glycoprotein metabolic process	0.006095712824140199	0.05025996533795494	0.06775700934579439	577	18123	29	GO:0009100	GO:BP	428	['CHST3', 'GXYLT1', 'CELA1', 'RNF103', 'CHST13', 'NDST2', 'HS3ST4', 'CSPG4', 'CHST9', 'HS3ST3B1', 'BACE2', 'NDST3', 'HS6ST3', 'NECAB1', 'MAN2B1', 'BCL2', 'RFT1', 'ST3GAL2', 'GAL3ST4', 'GANC', 'CHST8', 'CHST7', 'GPC1', 'CHST14', 'NCAN', 'CSPG5', 'NDST1', 'CHST10', 'NDST4']	C877
"""Long distance growth of a single dendrite involved in cellular development."" [GOC:BHF, GOC:rl]"	dendrite extension	0.006124065209788359	0.012131715771230503	0.19444444444444445	577	18123	7	GO:0097484	GO:BP	36	['SYT17', 'SYT2', 'SYT1', 'SYT4', 'RASAL1', 'RIMS2', 'CPNE6']	C877
"""Any process that modulates the frequency, rate or extent of synaptic vesicle exocytosis."" [GOC:obol]"	regulation of synaptic vesicle exocytosis	0.0062756924659470555	0.01559792027729636	0.14754098360655737	577	18123	9	GO:2000300	GO:BP	61	['CASK', 'RIMS4', 'NLGN1', 'SYT1', 'RAP1A', 'STXBP5', 'RIMS2', 'CSPG5', 'VPS18']	C877
"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]"	regulation of cellular component organization	0.0062756924659470555	0.18890814558058924	0.04469044690446904	577	18123	109	GO:0051128	GO:BP	2439	['RAPSN', 'SYT17', 'TIAM1', 'PRKD1', 'GATA3', 'GPC2', 'PRKAR1A', 'CENPF', 'RB1', 'NDUFS3', 'BAIAP2', 'PTK7', 'EXOSC10', 'OR2A4', 'SPOCK1', 'PTCH2', 'EPHB2', 'RABEP2', 'NLGN1', 'PACSIN2', 'SSH3', 'ANKRD13B', 'HCFC1', 'DAG1', 'PIK3R1', 'VPS11', 'NR2F1', 'SPTBN5', 'STMN4', 'SLITRK6', 'MAP2K1', 'ABL1', 'SYT2', 'SYT1', 'NIN', 'CCP110', 'KDM5A', 'NES', 'XRCC5', 'MAPK1', 'UNC13B', 'LINGO1', 'EHMT2', 'RIT2', 'TBCD', 'SKIL', 'SYT4', 'SYT9', 'GBA', 'PSMC3', 'GPC6', 'ELAVL4', 'PHF2', 'SUMO1', 'COLQ', 'GCLC', 'RAB5B', 'IGF1R', 'AKAP6', 'BDNF', 'KIF13B', 'RAP1A', 'TTBK2', 'SDC1', 'PROM2', 'BCL2', 'CLSTN2', 'DMD', 'STXBP6', 'CALY', 'INSR', 'SLIT3', 'MAP2K5', 'PKIB', 'STXBP5', 'CKAP5', 'TNIK', 'ILK', 'BAK1', 'RBSN', 'RASAL1', 'KDM3A', 'TPBG', 'SYTL4', 'RIMS2', 'PTPRD', 'CAMK2G', 'SERTAD3', 'YWHAB', 'ASIC2', 'NRCAM', 'SPTBN1', 'THAP7', 'PPP3CA', 'VPS18', 'CPNE6', 'DAPK3', 'MACF1', 'EPS8L1', 'CRKL', 'NRXN1', 'THY1', 'JAM3', 'ADD3', 'FEZ2', 'ARHGEF18', 'EFEMP2', 'SH3BP4', 'C2CD5']	C877
"""The chemical reactions and pathways resulting in the breakdown of glycosaminoglycans, any one of a group of polysaccharides that contain amino sugars."" [ISBN:0192800981]"	glycosaminoglycan catabolic process	0.0062756924659470555	0.01559792027729636	0.14754098360655737	577	18123	9	GO:0006027	GO:BP	61	['GPC2', 'CSPG4', 'GPC6', 'GPC5', 'SDC1', 'GPC1', 'NCAN', 'CSPG5', 'SDC3']	C877
"""Any process that activates or increases the activity of an enzyme."" [GOC:ebc, GOC:jl, GOC:tb, GOC:vw]"	positive regulation of catalytic activity	0.006311613975713611	0.1195840554592721	0.049891540130151846	577	18123	69	GO:0043085	GO:BP	1383	['GNAI2', 'TIAM1', 'CACNA1C', 'PRKD1', 'PRKAR1A', 'CACNA1D', 'ADORA2B', 'CCL14', 'PLCB2', 'MAP2K3', 'TBC1D15', 'EPHB2', 'RABEP2', 'DAG1', 'DOCK3', 'MAP2K1', 'STX4', 'ABL1', 'DOCK2', 'WNK1', 'RAB11FIP2', 'XRCC5', 'CSPG4', 'MAPK1', 'HSP90AB1', 'TBCD', 'MAP2K6', 'PPP1R14D', 'IGF1R', 'BDNF', 'CACUL1', 'RAP1A', 'TYRO3', 'BCL2', 'INSR', 'MAP2K5', 'PKIB', 'STXBP5', 'TNIK', 'ILK', 'BAK1', 'NEK5', 'RASAL1', 'RASA4', 'TFAP4', 'GADD45G', 'ARHGEF26', 'YWHAB', 'GPRC5B', 'STK4', 'MTMR9', 'RASGRF1', 'DNAJA3', 'AGAP1', 'DOCK4', 'DYNLL2', 'CRKL', 'NRXN1', 'ARHGAP11B', 'AXIN1', 'THY1', 'UHRF1', 'GMIP', 'DUSP6', 'DCP1B', 'DENND1A', 'LMTK2', 'ABR', 'GNAO1']	C877
"""The aggregation, arrangement and bonding together of a set of components to form a membrane."" [GOC:mah]"	membrane assembly	0.007103740611713002	0.019064124783362217	0.12087912087912088	577	18123	11	GO:0071709	GO:BP	91	['KPNB1', 'EPHB2', 'NLGN1', 'PACSIN2', 'VPS4A', 'STX4', 'PPP2R2A', 'SUMO1', 'PTPRD', 'SPTBN1', 'NRXN1']	C877
"""The process of introducing a phosphate group on to a protein."" [GOC:hb]"	protein phosphorylation	0.007103740611713002	0.1386481802426343	0.04781829049611477	577	18123	80	GO:0006468	GO:BP	1673	['RAD51', 'ERC1', 'CASK', 'HMGCR', 'STK33', 'TIAM1', 'PRKD1', 'PRKAR1A', 'RB1', 'ADORA2B', 'PTK7', 'MAST3', 'MAP2K3', 'EPHB2', 'DAG1', 'PIK3R1', 'DUSP8', 'DOCK3', 'TRIO', 'PRKCA', 'MAP2K1', 'ABL1', 'WNK1', 'RSRC1', 'CAMK4', 'XRCC5', 'CSPG4', 'MAPK1', 'HSP90AB1', 'MAPK6', 'EIF2AK4', 'RIT2', 'LMTK3', 'GBA', 'MAP2K6', 'IGF1R', 'NEK11', 'WNK4', 'BDNF', 'CACUL1', 'PYDC1', 'RAP1A', 'TTBK2', 'TYRO3', 'PROM2', 'DAPK2', 'BCL2', 'DMD', 'INSR', 'HPX', 'MAP2K5', 'PKIB', 'TNIK', 'ILK', 'BAK1', 'NEK5', 'TRPM7', 'FAM20C', 'TFAP4', 'CAMK2G', 'GADD45G', 'YWHAB', 'GPRC5B', 'TAF1', 'STK4', 'DNAJA3', 'SPTBN1', 'AATK', 'DAPK3', 'CRKL', 'AKT3', 'NRXN1', 'PKIA', 'AXIN1', 'THY1', 'DUSP6', 'LMTK2', 'ABR', 'IPO7', 'PBLD']	C877
"""Any process that modulates the frequency, rate or extent of the regulated release of a neurotransmitter from a cell."" [GOC:ai]"	regulation of neurotransmitter secretion	0.007774444831577679	0.019064124783362217	0.11956521739130435	577	18123	11	GO:0046928	GO:BP	92	['SYT12', 'CASK', 'RIMS4', 'NLGN1', 'SYT1', 'SYT4', 'RAP1A', 'STXBP5', 'RIMS2', 'CSPG5', 'VPS18']	C877
"""The directed movement of dopamine into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Dopamine is a catecholamine neurotransmitter and a metabolic precursor of noradrenaline and adrenaline."" [GOC:ai]"	dopamine transport	0.007867961529978736	0.01386481802426343	0.16	577	18123	8	GO:0015872	GO:BP	50	['SYT12', 'SYT17', 'SYT2', 'SYT1', 'SYT7', 'SYT4', 'SYT9', 'SYT6']	C877
"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]"	multicellular organism development	0.007867961529978736	0.3830155979202773	0.03897707231040565	577	18123	221	GO:0007275	GO:BP	5670	['EMX2', 'ERC1', 'KDM6B', 'HMGCR', 'PDLIM3', 'SYT17', 'MRTFB', 'SOX5', 'CTNNBL1', 'TIAM1', 'CACNA1C', 'PRKD1', 'GATA3', 'GPC2', 'SGCB', 'PRKAR1A', 'CELA1', 'CENPF', 'RB1', 'NDUFS3', 'BAIAP2', 'PTK7', 'RNF103', 'SOX8', 'TMEM178A', 'TAF4', 'SPOCK1', 'RIPPLY2', 'CSDE1', 'PRPH2', 'GLIS2', 'PTCH2', 'HHAT', 'EPHB2', 'MEA1', 'SH3PXD2A', 'SLC45A3', 'NLGN1', 'SOX3', 'VPS4A', 'DAG1', 'PIK3R1', 'LDB2', 'VPS33A', 'TNRC6A', 'NR2F1', 'THOC6', 'SPTBN5', 'PCSK2', 'POU1F1', 'HOXB9', 'TRIO', 'PRKCA', 'STMN4', 'SLITRK6', 'ZSWIM6', 'MAP2K1', 'ABL1', 'TRPC4', 'DOCK2', 'SYT2', 'SYT1', 'KRT75', 'WNK1', 'NIN', 'CAMK4', 'KDM5A', 'GPR149', 'NES', 'XRCC5', 'CSPG4', 'PTPRK', 'EBF3', 'MAPK1', 'HSP90AB1', 'MAPK6', 'LINGO1', 'NCOA3', 'PKP3', 'NFATC3', 'EHMT2', 'BACE2', 'EIF2AK4', 'RIT2', 'TBCD', 'SKIL', 'A1CF', 'SYT4', 'PNPLA1', 'NAV1', 'LMO1', 'SLC25A12', 'SPINT1', 'GBA', 'PAPSS1', 'PSMC3', 'MAP2K6', 'NECAB1', 'GPC6', 'FOXO1', 'DDAH1', 'SCUBE2', 'CRB2', 'ELAVL4', 'PHF2', 'NBR1', 'COLQ', 'IGF1R', 'CLMN', 'WNK4', 'AKAP6', 'BDNF', 'NUMBL', 'KIF13B', 'RAP1A', 'PPP2R3A', 'TTBK2', 'NSD2', 'TYRO3', 'IGF2R', 'SDC1', 'BCL2', 'CLSTN2', 'DMD', 'GAS2', 'BBS2', 'CDX2', 'INSR', 'MMP24', 'BNC2', 'SPDEF', 'TPGS1', 'SLIT3', 'TULP1', 'MMP11', 'MAP2K5', 'TNIK', 'ILK', 'BAK1', 'GFI1B', 'CHST8', 'DSPP', 'RASAL1', 'NME5', 'PTBP2', 'AKNA', 'SLC35E2B', 'GPC1', 'FSCN2', 'RD3', 'TPBG', 'KDM6A', 'MYOZ2', 'RIMS2', 'SLC38A10', 'UNK', 'FAM20C', 'LCTL', 'ZBTB40', 'PTPRD', 'CAMK2G', 'GADD45G', 'CASZ1', 'LSAMP', 'ASIC2', 'VGLL2', 'PDILT', 'GPRC5B', 'HS3ST6', 'NRCAM', 'DCHS1', 'TAF1', 'NCAN', 'STK4', 'RASGRF1', 'VSTM2L', 'DNAJA3', 'DOC2A', 'ZDHHC21', 'SPTBN1', 'NDE1', 'JMJD8', 'AATK', 'CSPG5', 'PPP3CA', 'SNX19', 'TUB', 'LGR5', 'CCDC40', 'NDST1', 'CPNE6', 'DAPK3', 'ZFPM2', 'SP3', 'MACF1', 'UTRN', 'SMARCC1', 'CLCN2', 'CRKL', 'AKT3', 'NRXN1', 'ARHGAP11B', 'MYF5', 'AXIN1', 'VSX1', 'THY1', 'JAM3', 'BCL11B', 'FEZ2', 'DUSP6', 'EFEMP2', 'TAF10', 'LMTK2', 'CAPN1', 'SOX6', 'SPG7', 'MMP16', 'PBLD', 'LYL1', 'ZBTB18', 'GNAO1']	C877
"""The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."" [GOC:mah]"	intracellular protein transport	0.00793213655808794	0.09185441941074524	0.053266331658291456	577	18123	53	GO:0006886	GO:BP	995	['KPNB1', 'IPO4', 'PRKD1', 'STX7', 'TBC1D15', 'NLGN1', 'SYTL3', 'VPS4A', 'IFT22', 'PIK3R1', 'VPS11', 'VPS33A', 'STX4', 'TSNARE1', 'PEX6', 'NPEPPS', 'MAPK1', 'HSP90AB1', 'STX16-NPEPL1', 'RPH3A', 'VPS39', 'RPL4', 'SYTL1', 'RAB5B', 'KPNA3', 'AKAP6', 'MON1A', 'KIF13B', 'MON1B', 'BCL2', 'RPL28', 'HPS4', 'TIMM17A', 'SYTL2', 'SCFD2', 'SYTL4', 'RIMS2', 'FAM53C', 'YWHAB', 'DNAJC27', 'RAB27B', 'ZDHHC21', 'VPS33B', 'PPP3CA', 'SPCS1', 'VPS18', 'PKIA', 'ZFAND2B', 'SNX8', 'TGFBRAP1', 'C2CD5', 'IPO7', 'SYTL5']	C877
"""A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:mah]"	cellular component organization or biogenesis	0.007969188135481052	0.45233968804159447	0.03793604651162791	577	18123	261	GO:0071840	GO:BP	6880	['RAD51', 'KDM3B', 'ERC1', 'SPATA7', 'KDM6B', 'YEATS2', 'KPNB1', 'PDLIM3', 'RAPSN', 'SYT17', 'IPO4', 'TIAM1', 'SETSIP', 'PRKD1', 'GATA3', 'GPC2', 'EIF3A', 'PRKAR1A', 'CENPF', 'RB1', 'NDUFS3', 'BAIAP2', 'PITPNM2', 'LZTFL1', 'PTK7', 'CLVS1', 'EXOSC10', 'OR2A4', 'EHBP1', 'STX7', 'SPOCK1', 'CSDE1', 'PRPH2', 'ARFGEF2', 'MAST3', 'PTCH2', 'MRPL14', 'EPHB2', 'RABEP2', 'SH3PXD2A', 'NLGN1', 'PACSIN2', 'SSH3', 'VPS4A', 'IFT22', 'ANKRD13B', 'HCFC1', 'PPFIA4', 'DAG1', 'PIK3R1', 'VPS11', 'LDB2', 'VPS33A', 'NR2F1', 'ESYT3', 'SPTBN5', 'TRIO', 'PRKCA', 'TRPM3', 'STMN4', 'SLITRK6', 'ZSWIM6', 'MAP2K1', 'STX4', 'ABL1', 'RCOR2', 'TSNARE1', 'DOCK2', 'CDAN1', 'SYT2', 'PEX6', 'SYT1', 'NIN', 'DNAJC28', 'NPEPPS', 'CCP110', 'DNAH17', 'KDM5A', 'NES', 'UBR2', 'XRCC5', 'CSPG4', 'PTPRK', 'KATNAL1', 'MAPK1', 'HSP90AB1', 'PPP2R2A', 'UNC13B', 'MAPK6', 'LINGO1', 'NCOA3', 'PKP3', 'PLEC', 'EHMT2', 'SYT7', 'STX16-NPEPL1', 'EIF2AK4', 'RIT2', 'TBCD', 'TUBA4B', 'SKIL', 'PAGR1', 'SYT4', 'NAV1', 'SYT9', 'VPS39', 'KDM5D', 'SPINT1', 'GBA', 'PSMC3', 'PCGF1', 'RPL4', 'GPC6', 'PLD2', 'KCTD3', 'XKR6', 'ELAVL4', 'MYO5C', 'PHF2', 'SUMO1', 'COLQ', 'TAF11', 'GCLC', 'RAB5B', 'IGF1R', 'KPNA3', 'CLMN', 'NEK11', 'AKAP6', 'BDNF', 'NUMBL', 'KIF13B', 'RRP8', 'RAP1A', 'TTBK2', 'VPS8', 'NSD2', 'IGF2R', 'SDC1', 'PROM2', 'BCL2', 'CLSTN2', 'DMD', 'KIF22', 'GAS2', 'BBS2', 'RFT1', 'STXBP6', 'CALY', 'INSR', 'RPL28', 'MMP24', 'TPGS1', 'SLIT3', 'SNU13', 'TULP1', 'HPS4', 'MMP11', 'MAP2K5', 'TIMM17A', 'PKIB', 'STXBP5', 'CKAP5', 'TNIK', 'FUS', 'ILK', 'BAK1', 'GFI1B', 'TUBA4A', 'RBSN', 'DSPP', 'OIP5', 'SF3A3', 'RASAL1', 'CCDC68', 'NME5', 'PTBP2', 'KDM3A', 'GPC1', 'FSCN2', 'TPBG', 'KDM6A', 'TRPM7', 'MYOZ2', 'SYTL4', 'RIMS2', 'TFAP4', 'TBCC', 'STAU1', 'PTPRD', 'CAMK2G', 'ARHGEF26', 'SERTAD3', 'YWHAB', 'ASIC2', 'NRCAM', 'DCHS1', 'TAF1', 'NCAN', 'RASGRF1', 'VSTM2L', 'DNAJA3', 'LIX1L', 'SPTBN1', 'NDE1', 'KNSTRN', 'NSUN3', 'CASQ2', 'THAP7', 'KLC1', 'VPS33B', 'KAT14', 'CSPG5', 'PPP3CA', 'SNX19', 'ERI2', 'TUB', 'MTIF3', 'CCDC40', 'VPS18', 'MRPL2', 'CPNE6', 'DAPK3', 'KDM8', 'MACF1', 'DYNLL2', 'UTRN', 'PRPH', 'SMARCC1', 'EPS8L1', 'CRKL', 'AKT3', 'NRXN1', 'ARHGAP11B', 'PLEKHA7', 'MYF5', 'AXIN1', 'FCHO2', 'THY1', 'JAM3', 'UHRF1', 'ATXN7L3', 'TSR2', 'BCL11B', 'ADD3', 'FEZ2', 'TGFBRAP1', 'ARHGEF18', 'EFEMP2', 'TAF10', 'LMTK2', 'CAPN1', 'SH3BP4', 'C2CD5', 'CACNB1', 'KLHDC3', 'SPG7', 'SNRPC', 'MMP16', 'TSPAN5', 'GNAO1']	C877
"""A process which results in the assembly, arrangement of constituent parts, or disassembly of a postsynaptic membrane, the specialized area of membrane facing the presynaptic membrane on the tip of the nerve ending and separated from it by a minute cleft (the synaptic cleft)."" [GOC:dph, GOC:pr]"	postsynaptic membrane organization	0.009375268972933408	0.012131715771230503	0.1794871794871795	577	18123	7	GO:0001941	GO:BP	39	['RAPSN', 'EPHB2', 'NLGN1', 'COLQ', 'DNAJA3', 'CRKL', 'NRXN1']	C877
"""Any process, occuring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos, GOC:dph, GOC:tb]"	establishment of localization in cell	0.010187029954310119	0.20797227036395147	0.04319654427645788	577	18123	120	GO:0051649	GO:BP	2778	['SYT12', 'ERC1', 'CASK', 'HMGCR', 'KPNB1', 'IPO4', 'TIAM1', 'CACNA1C', 'PRKD1', 'CENPF', 'CANX', 'CACNA1D', 'RIMS4', 'STX7', 'TBC1D15', 'NLGN1', 'SYTL3', 'CCDC22', 'VPS4A', 'IFT22', 'PIK3R1', 'VPS11', 'VPS33A', 'UNC13D', 'CADPS', 'THOC6', 'SPTBN5', 'MAP2K1', 'STX4', 'ABL1', 'TSNARE1', 'DOCK2', 'SYT2', 'PEX6', 'SYT1', 'NPEPPS', 'RSRC1', 'RAB11FIP2', 'XRCC5', 'MAPK1', 'HSP90AB1', 'UNC13B', 'LIN7C', 'SYT7', 'STX16-NPEPL1', 'SYT4', 'SYT9', 'RPH3A', 'VPS39', 'PSMC3', 'LAMP1', 'RPL4', 'PLD2', 'SYTL1', 'MYO5C', 'SNX32', 'MAN2B1', 'RAB5B', 'KPNA3', 'CLMN', 'AKAP6', 'MON1A', 'KIF13B', 'NAPRT', 'RAP1A', 'IGF2R', 'MON1B', 'BCL2', 'DMD', 'KIF22', 'BBS2', 'CDX2', 'CALY', 'RPL28', 'HPS4', 'TIMM17A', 'SYTL2', 'CLBA1', 'STXBP5', 'SCFD2', 'BAK1', 'TUBA4A', 'RBSN', 'VPS35L', 'SYTL4', 'RIMS2', 'WWC1', 'FAM53C', 'YWHAB', 'DNAJC27', 'RAB27B', 'SYT6', 'DOC2A', 'ZDHHC21', 'SPTBN1', 'NDE1', 'CASQ2', 'VPS33B', 'CSPG5', 'PPP3CA', 'TUB', 'SPCS1', 'VPS18', 'HYOU1', 'DYNLL2', 'KIF1C', 'NRXN1', 'PKIA', 'ZFAND2B', 'SNX8', 'FCHO2', 'THY1', 'TGFBRAP1', 'DENND1A', 'LMTK2', 'CAPN1', 'C2CD5', 'IPO7', 'SPG7', 'SYTL5']	C877
"""Any process that modulates the frequency, rate or extent of attachment of a cell to the extracellular matrix."" [GOC:hjd]"	regulation of cell-matrix adhesion	0.010231449046983643	0.022530329289428077	0.1015625	577	18123	13	GO:0001952	GO:BP	128	['CASK', 'DAG1', 'PIK3R1', 'ABL1', 'BCL2', 'DMD', 'ILK', 'DAPK3', 'MACF1', 'UTRN', 'MYF5', 'THY1', 'EFEMP2']	C877
"""The directed movement of substances within a cell."" [GOC:ai]"	intracellular transport	0.010242774932053592	0.14038128249566725	0.047011027278003485	577	18123	81	GO:0046907	GO:BP	1723	['ERC1', 'KPNB1', 'IPO4', 'PRKD1', 'STX7', 'TBC1D15', 'NLGN1', 'SYTL3', 'CCDC22', 'VPS4A', 'IFT22', 'PIK3R1', 'VPS11', 'VPS33A', 'THOC6', 'SPTBN5', 'MAP2K1', 'STX4', 'TSNARE1', 'PEX6', 'NPEPPS', 'RSRC1', 'MAPK1', 'HSP90AB1', 'SYT7', 'STX16-NPEPL1', 'SYT4', 'RPH3A', 'VPS39', 'LAMP1', 'RPL4', 'SYTL1', 'MYO5C', 'SNX32', 'RAB5B', 'KPNA3', 'CLMN', 'AKAP6', 'MON1A', 'KIF13B', 'MON1B', 'BCL2', 'CDX2', 'CALY', 'RPL28', 'HPS4', 'TIMM17A', 'SYTL2', 'CLBA1', 'SCFD2', 'RBSN', 'VPS35L', 'SYTL4', 'RIMS2', 'WWC1', 'FAM53C', 'YWHAB', 'DNAJC27', 'RAB27B', 'ZDHHC21', 'SPTBN1', 'NDE1', 'VPS33B', 'CSPG5', 'PPP3CA', 'TUB', 'SPCS1', 'VPS18', 'HYOU1', 'DYNLL2', 'KIF1C', 'PKIA', 'ZFAND2B', 'SNX8', 'TGFBRAP1', 'DENND1A', 'LMTK2', 'C2CD5', 'IPO7', 'SPG7', 'SYTL5']	C877
"""The increase in size or mass of an anatomical structure that contributes to the structure attaining its shape."" [GOC:dph]"	developmental growth involved in morphogenesis	0.010326536481141768	0.03292894280762565	0.07983193277310924	577	18123	19	GO:0060560	GO:BP	238	['SYT17', 'TIAM1', 'PTK7', 'ABL1', 'SYT2', 'SYT1', 'NIN', 'HSP90AB1', 'EIF2AK4', 'SYT4', 'BDNF', 'PPP2R3A', 'SLIT3', 'ILK', 'RASAL1', 'RIMS2', 'NRCAM', 'CPNE6', 'MACF1']	C877
"""Any process in which a protein is transported to, and/or maintained at the synapse, the junction between a nerve fiber of one neuron and another neuron or muscle fiber or glial cell."" [GOC:bf]"	protein localization to synapse	0.010326536481141768	0.01559792027729636	0.13636363636363635	577	18123	9	GO:0035418	GO:BP	66	['RAPSN', 'BAIAP2', 'NLGN1', 'DAG1', 'GPC6', 'RAP1A', 'ASIC2', 'RAB27B', 'NRXN1']	C877
"""A process in which a protein is transported to, or maintained in, a location within a cell junction."" [GOC:TermGenie, PMID:18332111]"	protein localization to cell junction	0.010406633243350014	0.019064124783362217	0.11458333333333333	577	18123	11	GO:1902414	GO:BP	96	['RAPSN', 'BAIAP2', 'NLGN1', 'DAG1', 'GPC6', 'RAP1A', 'ASIC2', 'RAB27B', 'NRXN1', 'JAM3', 'ARHGEF18']	C877
"""The chemical reactions and pathways involving chondroitin sulfate, any member of a group of 10-60 kDa glycosaminoglycans, widely distributed in cartilage and other mammalian connective tissues, the repeat units of which consist of beta-(1,4)-linked D-glucuronyl beta-(1,3)-N-acetyl-D-galactosamine sulfate. They usually occur linked to a protein to form proteoglycans. Two subgroups exist, one in which the sulfate is on the 4-position (chondroitin sulfate A) and the second in which it is in the 6-position (chondroitin sulfate C). They often are polydisperse and often differ in the degree of sulfation from tissue to tissue. The chains of repeating disaccharide are covalently linked to the side chains of serine residues in the polypeptide backbone of a protein by a glycosidic attachment through the trisaccharide unit galactosyl-galactosyl-xylosyl. Chondroitin sulfate B is more usually known as dermatan sulfate."" [GOC:mah, ISBN:0198506732]"	chondroitin sulfate metabolic process	0.010460190312466392	0.012131715771230503	0.175	577	18123	7	GO:0030204	GO:BP	40	['CHST3', 'CHST13', 'CSPG4', 'CHST9', 'CHST7', 'NCAN', 'CSPG5']	C877
"""Any process that activates or increases the frequency, rate or extent of regulated secretory pathway."" [GO_REF:0000058, GOC:pad, GOC:PARL, GOC:TermGenie, PMID:12526776]"	positive regulation of regulated secretory pathway	0.010943447476857328	0.01386481802426343	0.1509433962264151	577	18123	8	GO:1903307	GO:BP	53	['NLGN1', 'UNC13D', 'STX4', 'SYT1', 'SYT7', 'SYT4', 'SYT9', 'LAMP1']	C877
"""A process in which a protein is transported to, or maintained in, a specific location in a membrane."" [GOC:mah]"	protein localization to membrane	0.01094450662864516	0.06932409012131716	0.05730659025787966	577	18123	40	GO:0072657	GO:BP	698	['RAPSN', 'TIAM1', 'GPC2', 'LZTFL1', 'STX7', 'EPHB2', 'NLGN1', 'VPS4A', 'DAG1', 'PIK3R1', 'STX4', 'RAB11FIP2', 'LIN7C', 'PKP3', 'RPL4', 'GPC6', 'COLQ', 'RAP1A', 'GPC5', 'BCL2', 'BBS2', 'DENND4C', 'RPL28', 'TNIK', 'GPC1', 'TPBG', 'YWHAB', 'DCHS1', 'DNAJA3', 'ZDHHC21', 'SPTBN1', 'TUB', 'MACF1', 'CRKL', 'NRXN1', 'ZFAND2B', 'FCHO2', 'THY1', 'C2CD5', 'TSPAN5']	C877
"""The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."" [ISBN:0198506732]"	phosphorylation	0.010974865026776238	0.15771230502599654	0.045591182364729456	577	18123	91	GO:0016310	GO:BP	1996	['RAD51', 'ERC1', 'CASK', 'HMGCR', 'STK33', 'TIAM1', 'PRKD1', 'PRKAR1A', 'RB1', 'ADORA2B', 'PTK7', 'MAST3', 'MAP2K3', 'EPHB2', 'DAG1', 'PIK3R1', 'LDB2', 'DUSP8', 'DOCK3', 'TRIO', 'PRKCA', 'MAP2K1', 'ABL1', 'WNK1', 'ZBTB20', 'RSRC1', 'CAMK4', 'XRCC5', 'CSPG4', 'MAPK1', 'HSP90AB1', 'MAPK6', 'PPP1R14B', 'EIF2AK4', 'RIT2', 'LMTK3', 'GBA', 'PAPSS1', 'MAP2K6', 'PPP1R14D', 'IGF1R', 'NEK11', 'WNK4', 'BDNF', 'CACUL1', 'AK5', 'PYDC1', 'RAP1A', 'TTBK2', 'TYRO3', 'PROM2', 'DAPK2', 'BCL2', 'DMD', 'INSR', 'HPX', 'MAP2K5', 'PKIB', 'TNIK', 'ILK', 'BAK1', 'NEK5', 'N4BP2', 'NME5', 'TRPM7', 'FAM20C', 'TFAP4', 'CAMK2G', 'GADD45G', 'YWHAB', 'GPRC5B', 'TAF1', 'STK4', 'DNAJA3', 'SPTBN1', 'JMJD8', 'AATK', 'DAPK3', 'EPS8L1', 'CRKL', 'AKT3', 'NRXN1', 'PKIA', 'AXIN1', 'THY1', 'DUSP6', 'SEPHS2', 'LMTK2', 'ABR', 'IPO7', 'PBLD']	C877
"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a membrane."" [GOC:jl]"	membrane biogenesis	0.010974865026776238	0.019064124783362217	0.1134020618556701	577	18123	11	GO:0044091	GO:BP	97	['KPNB1', 'EPHB2', 'NLGN1', 'PACSIN2', 'VPS4A', 'STX4', 'PPP2R2A', 'SUMO1', 'PTPRD', 'SPTBN1', 'NRXN1']	C877
"""The chemical reactions and pathways resulting in the breakdown of aminoglycans, any polymer containing amino groups that consists of more than about 10 monosaccharide residues joined to each other by glycosidic linkages."" [GOC:ai, ISBN:0198506732]"	aminoglycan catabolic process	0.010974865026776238	0.01559792027729636	0.13432835820895522	577	18123	9	GO:0006026	GO:BP	67	['GPC2', 'CSPG4', 'GPC6', 'GPC5', 'SDC1', 'GPC1', 'NCAN', 'CSPG5', 'SDC3']	C877
